T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,mean_interactive.4,mean_interactive.5,bias_interactive.1,bias_interactive.2,bias_interactive.3,bias_interactive.4,bias_interactive.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_l_interactive.4,ci_l_interactive.5,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,ci_u_interactive.4,ci_u_interactive.5,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,rmse_interactive.4,rmse_interactive.5,mean_within.1,mean_within.2,mean_within.3,mean_within.4,mean_within.5,bias_within.1,bias_within.2,bias_within.3,bias_within.4,bias_within.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_l_within.4,ci_l_within.5,ci_u_within.1,ci_u_within.2,ci_u_within.3,ci_u_within.4,ci_u_within.5,rmse_within.1,rmse_within.2,rmse_within.3,rmse_within.4,rmse_within.5
10,100,1.1697177498456983,3.17816534313947,6.670729597111676,2.003316784982052,3.675192291609765,0.16971774984569832,0.05938844771315669,0.33414591942233524,0.0016583924910260617,0.0812019270975588,,,,,,,,,,,,,,,,0.22885126004196105,0.24482252642373084,8.072613065998421,0.24639939774885547,0.890349763067544,1.422899098456997,3.432012050218286,4.040875295889133,,,0.4228990984569969,0.14400401673942861,0.19182494082217333,,,0.053438266709420944,0.053267339552978674,0.07709301171326541,,,1.3181620203102862,3.3276099831421817,3.8897757694714086,,,1.5276361766037077,3.53641411729439,4.191974822306858,,,0.4270585295543326,0.43674100723123715,2.072647024466641,,
20,100,1.0670290580143156,3.077785170598921,7.62367099998036,1.9465322159850047,2.7450230227906762,0.06702905801431558,0.0259283901996404,0.524734199996072,0.02673389200749765,0.31374424430233094,,,,,,,,,,,,,,,,0.15644975742209127,0.14648743138210518,6.331559775731726,0.08561443392076719,3.0639712302182134,1.4210271931330993,3.4255264773773026,4.453265253979745,,,0.42102719313309933,0.14184215912576756,0.10934694920405104,,,0.036923684604176374,0.03680795426200747,0.054494336032310554,,,1.3486581011323975,3.3533842126791704,4.346458317994993,,,1.4933962851338012,3.497668742075435,4.5600721899644965,,,0.4232198383582692,0.4292893126152033,0.863150229544522,,
50,100,0.9922579828878859,2.9877094336836416,5.007839032261256,1.9972630263724624,3.9958498866302263,0.007742017112114086,0.004096855438786129,0.0015678064522511193,0.0013684868137687767,0.0010375283424434167,,,,,,,,,,,,,,,,0.04493970419244412,0.030320043292583823,0.06111200595605476,0.03388261007525464,0.030300888803430025,1.4461578631568477,3.437241364598676,4.290935422204899,,,0.4461578631568477,0.14574712153289196,0.14181291555902026,,,0.02289255510840568,0.02280277273631279,0.03354872498240846,,,1.401289279630274,3.392548751287851,4.225181129512139,,,1.4910264466834213,3.4819339779095007,4.356689714897659,,,0.44668199152747123,0.4380218335802801,1.1102498677828823,,
100,100,1.046114256856368,3.0393262728250665,10.049079649214182,1.0167619051419117,3.029032665954939,0.04611425685636794,0.013108757608355504,1.0098159298428364,0.49161904742904416,0.24274183351126521,,,,,,,,,,,,,,,,0.11646042155889726,0.10725105502016835,11.905495979725801,3.103172044051903,3.0748268215485934,1.4459141982076598,3.442653643160243,4.284060433919543,,,0.44591419820765976,0.1475512143867476,0.14318791321609137,,,0.01594075135224702,0.01593111016481322,0.023621360177535418,,,1.4146708996707473,3.411429241003469,4.237763418705725,,,1.4771574967445722,3.473878045317017,4.330357449133361,,,0.44669619301970814,0.4429817627928289,0.9835616639920703,,
100,10,1.034047032405924,3.0848847413633296,4.5898819947340375,1.824864961208844,3.966390765631887,0.034047032405924105,0.028294913787776526,0.08202360105319251,0.08756751939557805,0.008402308592028285,,,,,,,,,,,,,,,,0.16713034519615047,0.1804956695204674,1.0910634719995589,0.3767539425733215,0.21450823745535902,1.4045630359970454,3.461570549756484,4.47721268954812,,,0.40456303599704535,0.15385684991882798,0.10455746209037606,,,0.05331874593255923,0.05316583526723669,0.07568567933606533,,,1.3000602142683877,3.3573674274247107,4.328871483903984,,,1.509065857725703,3.565773672088257,4.6255538951922555,,,0.40765988757051363,0.4652942251930795,0.9125248744745643,,
100,20,1.1496506956726307,3.136819704892616,7.45579302087111,1.6875712386152197,2.887204809012049,0.14965069567263067,0.04560656829753862,0.491158604174222,0.15621438069239013,0.27819879774698775,,,,,,,,,,,,,,,,0.23068333128615232,0.243318393374712,8.657616776849085,1.0205892974928747,3.2504719968792304,1.4531212679913934,3.442272326130464,3.6107022964615565,,,0.4531212679913934,0.14742410871015466,0.2778595407076887,,,0.03636673041095171,0.036395547346575866,0.052424894595469895,,,1.3818437861504504,3.370938364133553,3.507951391161127,,,1.5243987498323364,3.513606288127375,3.713453201761986,,,0.4544246342579573,0.4436683006258614,1.5567690793677258,,
100,50,1.0300816603604748,3.0165357285490173,6.301297183655441,2.004554762662585,3.0947649542290736,0.03008166036047477,0.005511909516339101,0.2602594367310882,0.002277381331292405,0.2263087614427316,,,,,,,,,,,,,,,,0.061020863027464234,0.06012194162368719,4.1473510678515835,0.030425671763367676,2.8505665681029426,1.4448616241885774,3.430335728614746,4.196427303025028,,,0.44486162418857744,0.14344524287158192,0.1607145393949944,,,0.02266460638621903,0.02273210132048322,0.03318798494235324,,,1.4004398119478116,3.3857816287336835,4.131380047818558,,,1.4892834364293432,3.474889828495808,4.261474558231498,,,0.44518309719091737,0.43092854593290086,1.0025492122477013,,
