T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
20,20,0,1.2826569307081175,3.079581945673511,4.31458211187246,2.0109408080830935,3.8640711817647357,1.4302980792846012,3.223120514754603,2.788420912042028,,,,,,,,0.08616495595745917,0.08551094912770985,0.11026985749387994,,
30,20,0,1.0291592797224125,2.9653090039825285,5.080760829632293,1.783989355971098,3.964910642260543,1.4907242675941335,3.3791075896749385,3.066833885039789,,,,,,,,0.0720502128669347,0.07335057061939194,0.09852348936877,,
40,20,0,1.2832332855951938,3.07011180444564,4.430009212675157,1.9806176323493068,3.9100421112318484,1.4495435511552615,3.3400763434948075,3.938956562246328,,,,,,,,0.06200545038579363,0.06336598446982726,0.09954583676430181,,
50,20,0,1.232273882661139,3.1915183856096663,4.308240935746638,1.8150009179500368,4.030003667327689,1.3806378300133746,3.3263292811504845,4.1786097995013805,,,,,,,,0.05260434499817083,0.05641634757524363,0.08352014943328513,,
60,20,0,1.0037540848892634,2.9489781226339566,5.0625419441762505,1.9145667541070943,4.007047903393077,1.428828112069225,3.3637755824026243,3.210772684510325,,,,,,,,0.04967952897623996,0.051045767939081804,0.07496688207853877,,
70,20,0,1.1011005784575967,3.1482938174103,4.486463442761889,2.0069907648938927,4.117495154287164,1.375535236760844,3.458144551373885,4.147161076393466,,,,,,,,0.04552845703814587,0.0459528576207379,0.06416936646694762,,
80,20,0,1.0186353605317406,3.051173769762624,4.99834698719939,1.9247680892654317,3.9577106321643303,1.2806303576330542,3.313667681070161,5.01339894820879,,,,,,,,0.044480041232499795,0.04409768510900671,0.07922553518139783,,
90,20,0,0.9660483508249114,2.9846365536431985,5.017840091724709,2.0364971546626762,3.9522071580912463,1.3351664783467687,3.3909265087771985,2.491837731582744,,,,,,,,0.04095265159962453,0.040649170145177306,0.05876296604155501,,
100,20,0,1.0659801538371847,2.965970663201637,4.964667013066052,2.08084529834412,3.9641253021698777,1.4547792877183303,3.3454374089843686,4.191024774226111,,,,,,,,0.03736755395480625,0.036923711083507026,0.052766862526540684,,
10,30,0,1.3571011347765474,3.3536625187196103,3.02937814636086,1.855154349413077,3.2746350689072123,1.4795464015286128,3.380458977081113,4.412725107202028,,,,,,,,0.10325805961605285,0.10004346511444312,0.1300034880738606,,
