T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,10,0.7032561553486545,3.186307476465979,0.2967438446513455,0.062102492155326296,,,,,,,0.2967438446513455,0.1863074764659789,0.9944451956796424,3.1913364521801824,0.005554804320357598,0.06377881739339412,0.2033227000985819,0.2149400927579969,0.5959400262469834,2.77006161154081,1.3929503651123014,3.6126112928195546,0.005554804320357598,0.19133645218018236
20,10,1.034788928934045,2.9091399464262477,0.03478892893404506,0.03028668452458409,,,,,,,0.03478892893404506,0.09086005357375226,0.9127615863436352,2.863319624931284,0.08723841365636475,0.04556012502290541,0.1502158912035508,0.1637123662920539,0.6183438496790885,2.542449283175029,1.207179323008182,3.1841899666875384,0.08723841365636475,0.13668037506871622
30,10,0.9827821563052516,3.1257283751933507,0.017217843694748436,0.04190945839778356,,,,,,,0.017217843694748436,0.12572837519335067,0.8245508755450357,2.947734672782566,0.1754491244549643,0.017421775739144607,0.1121029529392409,0.1045929582441833,0.6048331252235349,2.742736241587465,1.0442686258665366,3.1527331039776674,0.1754491244549643,0.05226532721743382
40,10,0.8790997716783551,3.0690604413087854,0.12090022832164493,0.023020147102928473,,,,,,,0.12090022832164493,0.06906044130878541,1.012660043068308,3.142181309287217,0.012660043068307925,0.04739376976240569,0.1019483246063728,0.1070106340286547,0.8128449985556186,2.9324443206282576,1.212475087580997,3.3519182979461766,0.012660043068307925,0.14218130928721706
50,10,0.8831894388413097,2.9052011269260625,0.11681056115869026,0.031599624357979174,,,,,,,0.11681056115869026,0.09479887307393753,0.9810558912056828,2.893252685838285,0.018944108794317183,0.03558243805390493,0.0913115439412334,0.0983543373065388,0.8020885537081188,2.7004817269941648,1.1600232287032468,3.0860236446824056,0.018944108794317183,0.10674731416171479
60,10,1.0535243710896651,2.9647292568382184,0.053524371089665124,0.011756914387260528,,,,,,,0.053524371089665124,0.03527074316178158,1.0124081493723027,2.912564433777073,0.012408149372302724,0.02914518874097564,0.0784023671490066,0.0775703574340055,0.8587423334575635,2.7605293269385234,1.166073965287042,3.064599540615623,0.012408149372302724,0.08743556622292692
70,10,1.0320440162868962,3.0131929150168557,0.03204401628689624,0.004397638338951904,,,,,,,0.03204401628689624,0.01319291501685571,0.975331541724183,3.0349815466840337,0.024668458275816985,0.011660515561344583,0.0739613378029458,0.0738984213863866,0.8303699833820084,2.8901433022523517,1.1202931000663576,3.1798197911157158,0.024668458275816985,0.03498154668403375
80,10,1.0731136327981048,3.074349204902685,0.07311363279810479,0.02478306830089494,,,,,,,0.07311363279810479,0.07434920490268482,1.021234704276199,2.9524011651146944,0.02123470427619889,0.01586627829510186,0.069105087618662,0.0725803862600389,0.8857912213951366,2.8101462220610123,1.1566781871572611,3.0946561081683766,0.02123470427619889,0.047598834885305585
90,10,1.0956138684974377,3.1404488231561416,0.09561386849743769,0.04681627438538053,,,,,,,0.09561386849743769,0.1404488231561416,0.930865403788407,2.956888954940004,0.06913459621159301,0.014370348353331952,0.0673492742885466,0.0683901656037281,0.7988632517979462,2.822846693459967,1.0628675557788678,3.0909312164200413,0.06913459621159301,0.043111045059995856
100,10,1.0100105091032745,3.001721926750754,0.0100105091032745,0.0005739755835847404,,,,,,,0.0100105091032745,0.0017219267507542213,1.0666477585333505,3.021847809293199,0.06664775853335048,0.00728260309773295,0.0616008639482993,0.062581427267177,0.945912283778132,2.899190465748419,1.187383233288569,3.144505152837979,0.06664775853335048,0.02184780929319885
10,20,1.2460758662359304,3.1287273244454674,0.24607586623593036,0.04290910814848914,,,,,,,0.24607586623593036,0.12872732444546742,1.1044540771870357,3.030789050955421,0.1044540771870357,0.010263016985140391,0.1368709133523301,0.1664421371642665,0.8361920164853663,2.704568456603583,1.372716137888705,3.3570096453072593,0.1044540771870357,0.03078905095542117
