T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,100,0.9953877945441085,2.9883701821924897,0.004612205455891472,0.0038766059358367557,,,,,,,0.07218415724538557,0.07903475101277402,0.9854594805610744,2.997129102440212,0.014540519438925648,0.000956965853262659,0.0670539149322907,0.06619793627571638,0.854036222271372,2.8673835314889304,1.1168827388507767,3.1268746733914936,0.04356626384480347,0.051082630810760754
20,100,1.015815659895651,3.0165821730821607,0.015815659895650924,0.0055273910273869005,,,,,,,0.06918004372799397,0.04821250569021161,0.9929776498007609,3.0012758381915683,0.007022350199239136,0.00042527939718943014,0.045825438683482836,0.045747586749523825,0.9031614404053859,2.91161221578288,1.082793859196136,3.0909394606002567,0.05446848127349691,0.03396294187748787
50,100,0.9998327611425399,2.996472044468039,0.0001672388574600614,0.0011759851773203895,,,,,,,0.03149785575322385,0.03975273355228239,0.9925862250736672,2.9926050159129405,0.007413774926332772,0.0024649946956865065,0.028424431488203783,0.028584847726495076,0.9368753630757616,2.9365797438654484,1.0482970870715729,3.0486302879604326,0.026004246464334906,0.02944205508572056
100,100,1.0084947195423257,3.0036052930311996,0.008494719542325724,0.0012017643437332026,,,,,,,0.022338160627590052,0.028907096427537332,0.999632304508574,2.998299889592171,0.0003676954914260122,0.0005667034692763787,0.02003271592078349,0.020114874660260816,0.9603689027913161,2.9588754597045224,1.0388957062258317,3.0377243194798194,0.024384495847489362,0.02388894582611478
100,10,1.0422504451779082,3.0264375890915782,0.042250445177908214,0.008812529697192742,,,,,,,0.10984169165701987,0.09268739677577072,0.9947931902472262,2.9869293737668103,0.005206809752773767,0.004356875411063221,0.06370786845451258,0.06403216400568625,0.8699280625445661,2.8614286384635035,1.1196583179498862,3.112430109070117,0.0535039908656756,0.05365531472357779
100,20,1.059947685236693,3.0480510439130297,0.059947685236692916,0.016017014637676574,,,,,,,0.07582508750520368,0.07310520792903248,1.0252493113215948,3.0174336798430494,0.025249311321594803,0.005811226614349814,0.04479451132736981,0.044927506296213525,0.9374536824148785,2.9293773855872742,1.1130449402283111,3.1054899740988247,0.057049802243753805,0.028525497191826853
100,50,1.0265571039987218,3.009704824133972,0.0265571039987218,0.00323494137799063,,,,,,,0.059833898457531176,0.028047899249537447,1.00970089744027,2.9950216990833836,0.009700897440269918,0.001659433638872147,0.02838378854074785,0.02820179562938941,0.9540696941556034,2.9397471953504213,1.0653321007249363,3.050296202816346,0.03429362860409169,0.024411115587817524
