T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
10,20,1.4467053903937108,3.2985802142037057,0.1372446591695144,0.4467053903937108,0.09952673806790191,0.9725510681660972,,,,,,,,,,0.4467053903937108,0.29858021420370573,4.8627553408304856,1.519462301062781,3.289305259925425,3.7885885667430736,0.519462301062781,0.09643508664180829,0.24228228665138526,0.1088685836670377,0.1185005184206187,0.1749985548438713,1.3060837980275015,3.057048511671687,3.4455977019025283,1.7328408040980605,3.521562008179163,4.131579431583619,0.519462301062781,0.2893052599254249,1.2114114332569264
20,20,1.1665168815221874,2.932256292290061,4.671650150213965,0.16651688152218735,0.02258123590331307,0.06566996995720693,,,,,,,,,,0.16651688152218735,0.0677437077099392,0.32834984978603465,1.472748820159393,3.3418691600190646,3.949171001129829,0.472748820159393,0.11395638667302155,0.2101657997740342,0.0842838438043976,0.0854715805557243,0.1264242013915754,1.3075555218241743,3.174347940428131,3.7013841196281025,1.6379421184946117,3.5093903796099983,4.196957882631556,0.472748820159393,0.34186916001906464,1.0508289988701711
30,20,0.9583522335826484,3.1854457879670326,4.840637217718793,0.04164776641735157,0.06181526265567753,0.03187255645624134,,,,,,,,,,0.04164776641735157,0.1854457879670326,0.1593627822812067,1.2891275654368617,3.4780828678883102,4.041607107021111,0.2891275654368617,0.15936095596277008,0.1916785785957778,0.0624595437037824,0.0630224467593485,0.1013477963892775,1.1667091092866426,3.354561142022394,3.8429690761856286,1.4115460215870808,3.6016045937542263,4.2402451378565935,0.2891275654368617,0.4780828678883102,0.958392892978889
40,20,1.2849614292213425,3.21899425144263,3.577887411051301,0.2849614292213425,0.07299808381421007,0.2844225177897398,,,,,,,,,,0.2849614292213425,0.21899425144263018,1.422112588948699,1.4337970447933173,3.370831714604379,4.280069514207522,0.43379704479331727,0.12361057153479305,0.14398609715849559,0.0619412834669626,0.0612852685393691,0.0954574272295435,1.3123943600418844,3.25071479548435,4.092976394780764,1.5551997295447502,3.4909486337244084,4.46716263363428,0.43379704479331727,0.37083171460437914,0.719930485792478
50,20,1.0375718710883757,3.1020380225744084,4.779540847026185,0.037571871088375675,0.03401267419146947,0.04409183059476298,,,,,,,,,,0.037571871088375675,0.10203802257440842,0.2204591529738149,1.290913597130906,3.3257873276659025,4.336448897591429,0.29091359713090603,0.10859577588863416,0.13271022048171427,0.0551657765619957,0.0547053011934135,0.0843089400178206,1.1827906618902106,3.218566907563396,4.171206411581752,1.3990365323716014,3.433007747768409,4.501691383601105,0.29091359713090603,0.32578732766590246,0.6635511024085714
60,20,1.2249829092336697,3.247612152744793,3.4859761563156635,0.2249829092336697,0.08253738424826433,0.3028047687368673,,,,,,,,,,0.2249829092336697,0.24761215274479298,1.5140238436843365,1.3816185498114275,3.4234582934061786,3.763782001300444,0.3816185498114275,0.14115276446872618,0.24724359973991117,0.0471045241425736,0.047864567902402,0.0767087339199086,1.2892953789830859,3.329645464181899,3.6134356455177574,1.4739417206397691,3.5172711226304583,3.914128357083131,0.3816185498114275,0.4234582934061786,1.2362179986995558
70,20,0.9454007253290648,2.9496434546421435,5.030888275271717,0.05459927467093517,0.0167855151192855,0.006177655054343312,,,,,,,,,,0.05459927467093517,0.0503565453578565,0.03088827527171656,1.4041455314265932,3.4380268237919083,4.112694910062059,0.40414553142659315,0.14600894126396943,0.17746101798758823,0.0437368737633897,0.0447367976228721,0.0655496936961626,1.3184228340539745,3.350344311667422,3.984219871219948,1.4898682287992118,3.5257093359163947,4.24116994890417,0.40414553142659315,0.43802682379190827,0.8873050899379411
80,20,1.066703762730411,3.1281654757575805,4.64025730785125,0.06670376273041101,0.042721825252526845,0.07194853842974994,,,,,,,,,,0.06670376273041101,0.12816547575758053,0.35974269214874965,1.4003784634063206,3.488342353377366,3.659420168657865,0.40037846340632055,0.16278078445912195,0.26811596626842704,0.039857593366519,0.0401459214301049,0.0688154167264947,1.3222590158975007,3.4096577932481855,3.52454443029282,1.4784979109151404,3.567026913506546,3.7942959070229096,0.40037846340632055,0.48834235337736587,1.340579831342135
90,20,1.098907795121233,2.9833591648538844,4.8609118310440085,0.09890779512123293,0.0055469450487051946,0.027817633791198303,,,,,,,,,,0.09890779512123293,0.016640835146115585,0.13908816895599152,1.4817670556914475,3.4131728587483083,4.086046695118757,0.4817670556914475,0.1377242862494361,0.18279066097624863,0.0377770442355318,0.0384231878716014,0.0555053921190887,1.4077254095474288,3.3378647943487536,3.9772581256175696,1.5558087018354663,3.488480923147863,4.194835264619944,0.4817670556914475,0.41317285874830834,0.9139533048812432
100,20,1.0242674474776896,3.032372492921961,4.995854179669907,0.024267447477689608,0.010790830973987031,0.0008291640660186061,,,,,,,,,,0.024267447477689608,0.032372492921961094,0.004145820330093031,1.440259871737528,3.401301630126345,4.945078088309916,0.4402598717375279,0.133767210042115,0.01098438233801673,0.037857352097967,0.038749340461181,0.0475052491108014,1.3660608250754607,3.3253543183977494,4.851969510976142,1.5144589183995951,3.4772489418549406,5.038186665643691,0.4402598717375279,0.401301630126345,0.05492191169008365
