T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
10,100,0,0.9290707839080936,2.993230966097692,5.117906912085493,1.9860343163460052,4.019502387469515,1.34531049726403,3.376870979757542,2.558357372081594,,,,,,,,0.05561698714679621,0.05410403881712068,0.07423953342374123,,
10,100,1,1.4484098777384704,3.4246819654500253,-0.814268302463387,1.211244712701607,2.362361477963189,1.4105478073361306,3.450599367931729,5.716889947143825,,,,,,,,0.052853758011676785,0.05384059822045776,0.08287796368656629,,
10,100,2,1.0783803651243171,3.0438576286290258,5.003477056181472,1.903771017553166,4.201205033326374,1.398195222614063,3.2940475734099843,0.7605005614494071,,,,,,,,0.057842960394768606,0.05640428950470061,0.07021748157282072,,
10,100,3,1.1444063212146984,2.996631285953674,4.842384024322067,1.903152743898942,3.9739115050783713,1.426845198067624,3.3940332202432106,2.324687472313373,,,,,,,,0.051437529263492925,0.05089917797283681,0.06642856313457547,,
10,100,4,0.9853073773591001,3.066630569228519,5.0805405736536855,1.9193372484287146,4.258557841183446,1.3599842334848449,3.402958920079935,7.492252996248885,,,,,,,,0.05853807720744118,0.055514225638815466,0.1353543377488972,,
10,100,5,1.0638984875456663,3.002156166060602,4.93873154576143,1.9328461945069324,3.8491761190263603,1.4119713133919432,3.3530364590324515,3.6065341539059017,,,,,,,,0.05790406568583794,0.056615497143509476,0.07940770166942224,,
10,100,6,1.2872235627939674,3.222956931923953,1.7335827426514543,2.400704277217436,4.045101175732489,1.3856070233638782,3.336422480988764,2.7083255403862987,,,,,,,,0.05579576229349121,0.05189637607247763,0.07834855040447648,,
10,100,7,1.1473725834755903,3.2082429656871687,4.025450528244759,1.9583785539040819,4.00978966853898,1.3444227544228091,3.3499707612223197,0.5706106027709917,,,,,,,,0.05795467780914797,0.05699564088487998,0.06653192610760597,,
10,100,8,1.002589930354321,3.1194889322640424,4.751353268419935,2.085344780527185,3.853980275317571,1.2719918863220117,3.404675826482066,3.0811151064604507,,,,,,,,0.05662129534468164,0.055905241545706155,0.08495835384266515,,
10,100,9,1.36455031036456,3.395155944687317,-3.084139309638111,1.7527380083843087,6.951961516067787,1.3968844499974042,3.3738765609482755,2.9027188835457656,,,,,,,,0.053887466509524314,0.05497028606261569,0.07177038020120265,,
