T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_within.1,beta_within.2,beta_within.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_within.1,sde_within.2,sde_within.3
10,100,0,1.1704772243596138,3.192970865980827,4.279197580782417,1.4198684484363981,3.4796341861694797,4.397206120352865,,,,0.04972968053632803,0.05001169082948051,0.06829026809678537
10,100,1,0.9105186350732634,2.811220632328831,5.0903648691103065,1.5099919486332338,3.2995879371391243,4.1332237836303305,,,,0.056703307504178416,0.057001160497982,0.08413883689348657
10,100,2,0.9333320252643699,3.047016170566293,5.06084022002748,1.357302203043872,3.4050073089058497,4.2678292014598265,,,,0.05410240345360648,0.05332755074913226,0.08174402857424723
10,100,3,1.2331314812381855,3.1733505677701475,4.154923380372027,1.4578788366876358,3.3577396929083747,4.198297998657802,,,,0.054869619007932274,0.05535827082698639,0.07963786348517628
10,100,4,0.9248560764648257,2.9408910208629413,4.988227273301485,1.4246060043960411,3.4896838447881198,3.968725697484216,,,,0.05043098245292667,0.049438150223682725,0.06809740420397485
10,100,5,1.394705335157326,3.2471899425355017,2.86813236429001,1.4551614604529732,3.419952333528581,4.450520928516208,,,,0.055322596716089315,0.05360634662684759,0.07610923165071666
10,100,6,0.9859334297795215,2.94776627439333,5.062724457207641,1.4523802163932034,3.4735414632843877,4.172091969796305,,,,0.05333569732936282,0.05295316596881214,0.07320686603349323
10,100,7,0.9882929635635893,2.9156204239774692,5.187137982955439,1.5366791560950943,3.390691770385123,4.17448460614543,,,,0.05279420898234823,0.05353606447284981,0.07599676852590304
10,100,8,1.061398592986392,3.0417896198188346,4.933844979027042,1.4940965312672876,3.4137501156753256,4.370468335234204,,,,0.05408864776513009,0.053361783718209356,0.0734710492125824
10,100,9,1.189824006535516,3.028072044789413,4.640018111805959,1.4960828974178657,3.3392354110775617,3.9919453996363536,,,,0.05319110386385795,0.0533326709189901,0.08253601776606559
20,100,0,1.018718039988102,2.981307433038552,5.036403437565308,1.453765730105772,3.393652531514218,4.196215278212345,,,,0.03736391648390913,0.03648839633157419,0.055262326024310415
20,100,1,1.124200886611692,3.1436325950037456,4.367453585381304,1.4239346085331734,3.408801785899173,4.194839376198284,,,,0.036688268485763786,0.036474273036359195,0.05326284226885276
20,100,2,1.0330910024941293,3.0410251033088045,4.947503366019285,1.463385659655841,3.459493881985602,3.8254903843342767,,,,0.03502025311879794,0.034751643270408195,0.052251729391865565
