r,T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
1,50,50,0,1.320969304336354,3.3401662095884084,-0.24030969899015187,2.4984250386913684,3.9670926589819224,1.384398141163167,3.4092808959286645,3.415651369101928,,,4.0130660354349965,4.124548302009108,51.70596756194287,17.25664243224854,4.544890212872563,0.03331564834941757,0.03314006044188742,0.05064286068711036,,
1,50,50,1,1.3250370285487647,3.3867632796714466,0.6876699127177579,1.8922571565984823,4.062853890809659,1.3687332435579438,3.4146313767216148,1.5398205645202974,,,8.39489282924966,8.960682439597239,86.09082645212227,25.820920408081374,11.287428369642868,0.03359128679597568,0.03435936511689885,0.042433207715538566,,
1,50,50,2,1.3664568562092994,3.354840205622016,1.8904055443679948,1.9427132494052701,3.9066607520820273,1.4520105030193424,3.422053723393592,4.335822664232309,,,4.266188669863812,4.233264182695285,29.22571948838008,10.091623043446214,5.903990815443838,0.032672709006359386,0.032803856493578094,0.05100486157379267,,
1,50,50,3,1.3735674163124019,3.2997740668653117,0.10217390896232725,2.2495224663775177,4.097957313427694,1.4477633717471852,3.3776087737871565,4.247156969654105,,,4.484221713911193,4.645806043174177,46.791215875540026,12.725873097026303,6.032559455175384,0.03251003914806028,0.03302741407739294,0.054197922490706325,,
1,50,50,4,1.3442918721533994,3.346031296646847,-1.1698731649650163,2.161841346281134,4.121651224446104,1.4074451501018728,3.4208273309973842,4.204585618995015,,,6.070546767865729,6.259937096286489,88.83556977776442,16.477832951163816,11.187659306384548,0.03292701026103637,0.03381180157950703,0.044611203801166274,,
1,50,50,5,1.357057572812716,3.287614009314571,-0.006818390000127295,2.0314127673690674,4.0393724895184455,1.4001361713119453,3.334949132730532,2.2666303924009323,,,7.947609054371631,8.158520816539498,79.6578320965158,23.798748655059583,10.631225341055556,0.033496460593777005,0.03336021282762243,0.045860291141498775,,
1,50,50,6,1.330129904933555,3.3730840873489605,-0.5266415803257289,1.9731320132913504,4.185505342638689,1.3874562715293697,3.427724448063956,4.640469378044908,,,7.337050043492713,7.596961867006205,84.84949127778852,29.34052169920867,13.304697870022254,0.03180218175036587,0.03169811088367801,0.05055355844718671,,
1,50,50,7,1.1240896757976402,3.11692247434427,4.725358833276428,1.8630083136253814,3.770792011301304,1.4422671062619303,3.4308586425327787,3.913615493465118,,,1.6063639057729393,1.6028179352450973,2.626530710215182,1.8368098079828585,1.5995089453415987,0.03294749369942949,0.03294471669887578,0.049388045474987693,,
1,50,50,8,1.3390198195541911,3.352599680697547,2.234797062640764,2.129644447993692,3.64398367185953,1.3978086097172016,3.401402163145381,3.9400813384986066,,,3.1960120256085527,3.278671737669751,23.16191732269711,10.467470729895497,3.4244068484090993,0.03405836427852482,0.033775353090182925,0.048962385535403066,,
1,50,50,9,1.247673063757344,3.250668905707144,3.746885640609033,1.9666481626091041,3.9879953153675656,1.3890302411231448,3.3975981891878755,4.0304094341326495,,,2.715574289927297,2.642013078326846,8.858721116017001,3.2616196248613933,2.8752226816887383,0.033991842506412275,0.03354088087667903,0.049666361859891234,,
