T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
100,10,0,1.1267071327663025,3.0399266325566443,4.765653815717961,2.169020254017301,3.982985906737934,1.4071321995409691,3.3654436841449096,5.443203623851965,,,,,,,,0.058358177154221785,0.05698867018670707,0.09944391250790208,,
100,10,1,1.3886129511726568,3.3604936178872853,2.0724451169895364,1.7231629268942048,3.8783720400638186,1.4630829304951398,3.372118398238238,2.2882906329451473,,,,,,,,0.05648105521399428,0.05662859873356714,0.07094969233283374,,
100,10,2,1.1012528567741775,3.112645882530691,4.747568028848003,2.075454947192543,3.7778905063225494,1.4622644048239237,3.4352674771945075,3.3856496870419353,,,,,,,,0.054686706547859995,0.05537131503142603,0.08074083089210142,,
100,10,3,1.0655464663627172,3.040839553515568,4.941132913217255,2.081195344627603,3.9681931496607774,1.3956397610313431,3.411138218542229,4.411385402669996,,,,,,,,0.05650141819808694,0.057722839764086896,0.08150851341219155,,
100,10,4,1.199994661515113,3.08526526712539,4.148274105784837,2.0579296295044243,4.055589109540421,1.3527361079173978,3.268421798628532,3.4716405999339632,,,,,,,,0.05590207124199653,0.055197226141091286,0.06650125112358295,,
100,10,5,1.1180697505666648,3.1578666373918414,4.558052291261282,2.0226708786491017,4.020755081175524,1.405734915552165,3.400682761412045,4.832542469358565,,,,,,,,0.05523751092994934,0.05381106462993996,0.08808358882560477,,
100,10,6,1.083052606551219,3.1523786964863243,4.688270675768708,1.8212858071275404,3.994053439676436,1.297249120443806,3.481980013668287,4.970734901800365,,,,,,,,0.0556946633903774,0.05498667992321553,0.10259733508942911,,
100,10,7,1.1668261517531033,3.3252323753238997,4.514532864974084,1.6600327033671123,3.84358311302059,1.3479896820430175,3.449182124924559,4.673806677580424,,,,,,,,0.053375103949936165,0.05203423810821455,0.07928287713648226,,
100,10,8,1.1958993793296466,3.185509309746123,4.128420741562545,2.0273140790409645,4.11839819868003,1.4430000560854266,3.3892159838872438,5.002171156587552,,,,,,,,0.05593188471699774,0.05500038184286636,0.08183674043129185,,
100,10,9,1.1402628774039363,3.0848174574339544,4.3754784493540315,2.075513545912818,4.0821445125869165,1.4403268676059053,3.3349847420077214,3.936232783023918,,,,,,,,0.05301210766744657,0.05570270606303673,0.0686858298095496,,
100,20,0,1.123796848979175,2.9702707270010946,4.882236989048508,1.9411020058489428,4.013996768874013,1.4518890498484596,3.3359789734531473,4.10869338917624,,,,,,,,0.036989084885915964,0.037141879570069716,0.05369031465219043,,
100,20,1,1.1766473761979,3.1897464891578773,3.464352806864393,2.006184133838044,4.352447429403713,1.3587786892818232,3.392498845708984,2.6937958421383392,,,,,,,,0.037328117500509794,0.03736603047187614,0.0464443819544357,,
100,20,2,0.991196689725766,3.0701915886452364,4.925992184052699,1.9396438951498416,4.087605908251407,1.3391509513918363,3.4654384038275614,2.5583601338135824,,,,,,,,0.037519932111418304,0.03732426180862071,0.050201728739253215,,
100,20,3,0.9897441194468353,3.008650393262929,4.959110976377646,2.001296405271534,3.856519280112364,1.3449199633297904,3.4240788715323935,3.4068232654713997,,,,,,,,0.036205563806213294,0.03671538831973323,0.0549543478267784,,
100,20,4,0.8404136707663965,2.956362205362997,5.031998910079389,1.9823546804050496,4.000640656216186,1.3731792133071072,3.4259077627396124,4.486522289106584,,,,,,,,0.039432141601465666,0.03942329962983599,0.056380906704358934,,
100,20,5,0.9647717708858998,2.986135511372173,4.9853451124965815,2.0239275198127027,3.9958566440317895,1.379908648621909,3.365238885317275,3.8582561925862047,,,,,,,,0.03878862582916103,0.03914407167471817,0.055206056563895066,,
100,20,6,0.9357804665107723,2.969622678652697,4.914085064446913,1.9253717010632783,3.9736632331770405,1.4137446772085465,3.3756151730665724,2.6679711017799326,,,,,,,,0.036771876392988914,0.03666833515795808,0.04772114196544085,,
100,20,7,0.9326020020661328,2.923517010729565,4.932904564787897,1.7943680513066964,3.9058729474834784,1.387259231839689,3.386208708825894,3.1539228538593873,,,,,,,,0.03644785591458166,0.03746052729705496,0.05363281974411403,,
100,20,8,0.9903748604763964,2.9797895041107427,4.989404868910155,2.0060142399769756,3.9882287353193213,1.4086521286131979,3.445761317849591,3.3157623356617916,,,,,,,,0.037840733153883005,0.037218769875826965,0.05607419699379511,,
100,20,9,1.0576965954351738,3.0435881023468907,4.837558883354853,1.9850971705976137,3.9301055763729913,1.3573887511297356,3.337181260056913,4.307681224401854,,,,,,,,0.038237445117425176,0.03928314391286449,0.0633822707541903,,
100,30,0,1.042187255053415,3.0241946098554697,4.912778194929423,2.0065388722553625,4.013412634620289,1.4091423874072344,3.3869095639763485,2.0815603409399763,,,,,,,,0.03095461655835622,0.03094300237009147,0.0415806038695706,,
100,30,1,0.8968328731430131,3.052373873828226,5.086660193511889,1.9350290252811355,3.9479286106436184,1.3477105364507167,3.4882378650164947,4.816191548559139,,,,,,,,0.03002262326084386,0.029135009460409415,0.045234443005037046,,
100,30,2,1.0128658731071156,3.090652980475076,4.843198180219143,1.9912792460327373,4.037807051202728,1.3467738610906532,3.408853267273197,5.503578224632835,,,,,,,,0.02961680156137864,0.02949088195120478,0.048503821044207154,,
100,30,3,1.0418440221768739,2.9932172709053533,4.889142032387014,2.030033983990091,4.065650738397515,1.460728423661298,3.4209373809065236,3.85162363883844,,,,,,,,0.030408635493142273,0.02999590382430569,0.04448020163103229,,
100,30,4,1.0611338615420096,3.064086254403799,4.818032089633074,2.010323191440892,3.912286423144133,1.397421838640375,3.400681545743808,4.165105126513582,,,,,,,,0.030210329725924186,0.03026042156506446,0.045258053834055983,,
100,30,5,1.067107374002981,3.007749726333499,4.901617315461969,2.0040313395348983,3.98315474473989,1.4704599192822467,3.403746360301006,5.179078593562297,,,,,,,,0.030052940028313397,0.029977019077628193,0.04980750054712393,,
100,30,6,1.0584289899478954,3.024587364241406,4.842414790307005,2.01206890071213,3.959990573164762,1.4373022889253273,3.3834153329618273,4.623970020421896,,,,,,,,0.02969869581497323,0.029823288873478838,0.04437841643836413,,
100,30,7,0.9988893310702294,3.0778880828923456,4.833141184351889,2.035882653306593,4.0258210491363045,1.359943681917903,3.4738624841353998,3.7752802700816828,,,,,,,,0.03010293085440521,0.030834607917465416,0.04421748206012389,,
100,30,8,0.9796992939189815,3.038752332122921,4.952694588370143,2.0174324488242457,4.029504396542316,1.362694322923914,3.436575560515392,4.224748372004845,,,,,,,,0.03135611660953245,0.03111982962548605,0.04413022767616724,,
100,30,9,0.9660035453306282,2.9772885005026883,5.073260551390489,2.0476800585380697,3.90953155950549,1.4014492247972175,3.3956183200143535,3.163696164860027,,,,,,,,0.029364872882671818,0.029529978598716814,0.04147874916085467,,
100,40,0,1.0047320442321825,3.0690813925000615,4.869678737194446,2.0178372408254006,3.9945789131405904,1.381323971815055,3.4505911230956863,2.6324449097546276,,,,,,,,0.025848294746424066,0.025726218521793045,0.0354628860570909,,
100,40,1,1.0872151454219314,3.0810429145362055,4.745362424025988,1.9793152789632202,4.000129766907548,1.3908574017534758,3.368449707008403,4.157160201947063,,,,,,,,0.025624216436583813,0.025544863858368263,0.03794792956358049,,
100,40,2,1.0148526341444772,3.0556400288232033,4.9367051523903855,1.9617309483151009,4.096470247688609,1.331041642064221,3.398347578442757,4.890355665019797,,,,,,,,0.025958128511631713,0.025788661977898367,0.04585538182452141,,
100,40,3,1.2077640601171518,3.2338146390411104,25.551891648567725,2.0038154195243294,-4.315384388626696,1.3957028341611553,3.427232200203571,3.2528821827143046,,,,,,,,0.025527390336815618,0.025204404655580114,0.03475310483183359,,
