T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
10,100,1.0561789758890474,3.0800792882712282,4.491059860829376,0.05617897588904741,0.026693096090409412,0.10178802783412486,,,,,,,,,,0.1282361475287941,0.12438937864832764,0.9795824343206047,1.3787984657259662,3.4180122386357126,4.34004950775631,0.3787984657259662,0.13933741287857085,0.13199009844873794,0.05509213483558454,0.05418886175335572,0.07756435583449725,1.270819865616796,3.311804021235915,4.188026163836646,1.4867770658351365,3.52422045603551,4.4920728516759745,0.38260282169442333,0.42076521145768175,0.7691129496733361
20,100,0.9940199830514975,3.013590857857812,4.975819541901899,0.005980016948502476,0.004530285952604037,0.0048360916196202195,,,,,,,,,,0.07774557670923343,0.04846678975111292,0.15628330973912913,1.3763894399629932,3.4021307831088583,4.189480830911873,0.37638943996299323,0.13404359436961943,0.16210383381762536,0.037863564821249265,0.037802386826394016,0.05888303006177792,1.3021782165870468,3.3280394663994746,4.074072212690199,1.4506006633389397,3.476222099818242,4.304889449133547,0.37855530075773297,0.4044167094678243,0.8442039060346102
50,100,0.9993438917593289,3.023809490525414,4.953206699715261,0.0006561082406710828,0.007936496841804678,0.009358660056947877,,,,,,,,,,0.0425404188898818,0.0513028094413711,0.11719769009935978,1.3831691536641284,3.4053665392710757,4.150479157583561,0.3831691536641284,0.13512217975702523,0.16990416848328777,0.02345547677354991,0.023481872756602594,0.03639676247910355,1.3371972639477547,3.3593429143785825,4.07914281397066,1.429141043380502,3.451390164163569,4.221815501196462,0.3836800201173272,0.4060630156749773,0.872151888391156
100,100,1.0145974092426413,3.002910793083646,4.960070851931159,0.014597409242641302,0.0009702643612152784,0.007985829613768125,,,,,,,,,,0.022864453091386017,0.03490367289678819,0.07634484210970356,1.4027992140943615,3.3945704548613307,4.256437684368993,0.4027992140943615,0.1315234849537769,0.14871246312620148,0.016442426274710313,0.016452711542499242,0.024389599881586333,1.3705726507774743,3.3623237327900055,4.208634947003741,1.4350257774112487,3.426817176932656,4.304240421734244,0.4033069908939911,0.39491674784813363,0.74975310771713
100,10,1.0407060701153494,3.077624515665703,4.799677952106082,0.040706070115349435,0.025874838555234387,0.040064409578783614,,,,,,,,,,0.07931249485819207,0.11110863254323923,0.31489956970128,1.3761431235684944,3.393165895573317,4.133653332886616,0.37614312356849444,0.131055298524439,0.17326933342267684,0.054706990887620745,0.05399142146412209,0.08531467934006468,1.268919391726197,3.287344654029515,3.9664396340275054,1.483366855410792,3.498987137117119,4.300867031745726,0.37861255203454325,0.39895168129885306,0.9084860573225696
100,20,1.0240153755352166,3.028494233114352,4.9318790428713495,0.0240153755352166,0.009498077704784022,0.013624191425730103,,,,,,,,,,0.057193358111273365,0.04914320167206491,0.12162954003024208,1.372558182423591,3.3856981642862225,4.313189836993028,0.37255818242359107,0.12856605476207417,0.13736203260139437,0.0378570423748195,0.038002379323181665,0.05595564046150603,1.2983597428077382,3.3112148694859567,4.203518796956605,1.4467566220394439,3.4601814590864883,4.422860877029452,0.37551374637874846,0.38971001991196663,0.7082438419403106
100,50,1.0044445008653584,3.0187601130069623,4.979033868955201,0.004444500865358414,0.0062533710023207805,0.0041932262089597215,,,,,,,,,,0.03880430306283945,0.035630596329893446,0.08847105448097865,1.3928646820076431,3.4109435874978913,4.2025248010145475,0.39286468200764313,0.13698119583263044,0.1594950397970905,0.02326761104134787,0.023249300177446048,0.035251997457468986,1.3472610023603149,3.3653757964843365,4.133432155614811,1.4384683616549714,3.456511378511446,4.271617446414284,0.3946678741820365,0.41157260468373846,0.8135890031367596
