T,N,sim,beta_interactive.1,beta_interactive.2,beta_within.1,beta_within.2,sde_interactive.1,sde_interactive.2,sde_within.1,sde_within.2
10,10,0,0.8524873300017966,3.272586404253655,0.8972809973185073,2.628330802542914,,,0.2641357449273331,0.2733834853972065
20,10,0,0.9219975193120504,2.8620250923347257,0.8853283288015146,3.00961659664863,,,0.1521426791088595,0.1471491731028747
30,10,0,1.2938714473832746,3.0181988542358766,1.002656347158238,2.8584640239586347,,,0.11709939226204616,0.11942966616088434
40,10,0,1.1027109713769718,2.8563241664099337,1.0570522371236695,2.9902390863381485,,,0.10865552789559114,0.10911276028904893
50,10,0,1.181734319319503,3.1365719222598365,1.0916081667355995,3.0468751302537727,,,0.10543010142806174,0.1017568312133935
60,10,0,1.1900220512356938,3.2193548937129606,1.0644858495755214,3.0311045409126756,,,0.08218731189838148,0.085552420423357
70,10,0,1.0769052511164858,3.3391702117599777,0.8749215514935856,3.1042550452909237,,,0.07424041790097809,0.0781879969613837
80,10,0,1.2921609929077036,3.021505600879756,1.0958350415700304,2.9290960283752465,,,0.07756781003201521,0.07609175380327039
90,10,0,1.054471997281361,3.1890766211282937,0.9221193349444853,3.0906610323102304,,,0.07504072992951373,0.07064778370506371
100,10,0,1.2261995236140422,3.075298913810933,1.0637676729873475,2.9466363030665303,,,0.06593476352194338,0.06753126424696834
10,20,0,1.16967102321302,3.0435276508200317,1.078609197451471,2.939964105382246,,,0.1589523911270981,0.1447394422074239
20,20,0,1.1018346301174375,3.2230869041339716,0.9486974433643252,3.140224476265856,,,0.10203635251540255,0.1094255406447357
30,20,0,1.1352360801579202,3.0903331295225627,0.9618602957581286,2.963345363051707,,,0.08579989019663509,0.08631222319387229
40,20,0,1.0831186223889588,2.86975027009791,1.0395579061486815,2.8600101182450195,,,0.0749010858656601,0.07421596942377422
50,20,0,1.1377809587220185,3.1687537093743927,0.9823910778352052,3.0451930669495675,,,0.0647185492340387,0.0643290719176137
60,20,0,1.1534211684402607,3.170894564844133,1.0165667062886654,3.060117353685598,,,0.05835302170336496,0.060057248084628624
70,20,0,0.9056965406965354,3.040797335757084,0.8873650309202085,2.9899827753854455,,,0.053886682805784035,0.05582264579744155
80,20,0,1.1360121675022796,3.175787643883055,0.9515278163099216,3.016543579393242,,,0.0505523152626643,0.04953141020332879
90,20,0,0.9256760976215901,2.9630513567328585,0.9091077132613135,2.954594457347173,,,0.04906472232747258,0.048002207105601796
100,20,0,1.1196095960014958,3.1630844715181894,0.9678540104577786,3.0048062760381478,,,0.04735152516475692,0.0449060703739771
10,30,0,1.2457938185184432,3.068409610518728,1.0594364822941558,3.077727901905492,,,0.12837403108562934,0.13342599119583962
20,30,0,1.045922057478684,3.154176574436427,0.9655774703112929,3.016785355507511,,,0.08120285948767024,0.08810632751013264
30,30,0,1.1970734637310017,3.1206908859267415,1.011647445580149,3.055421241058716,,,0.07136570001547364,0.06813209931700649
40,30,0,1.0714597306256621,3.178799665452601,0.8833392352039782,3.03330713717248,,,0.06018494086554189,0.06244500244803227
50,30,0,1.1859897706081668,3.168060014200936,0.9947336419501503,2.953908237495613,,,0.052826682077670016,0.052565892976630064
60,30,0,1.196431904997656,3.136478827881419,1.0190544851094465,2.9830703559098812,,,0.048123764956664435,0.04873193315992519
70,30,0,0.9717176148354696,3.01642623293656,0.9520276331011622,3.0040465174413176,,,0.04551329668641201,0.045747106943405884
80,30,0,1.1300459050415554,3.180014713818103,1.0303393973497794,3.0255038534804384,,,0.04078145923635605,0.04213941081252952
90,30,0,0.9489758622715385,3.0164244472011603,0.931317859889597,2.9882096666732356,,,0.038236363787405976,0.038497848505878694
100,30,0,1.0425591916033952,3.0553989987620227,1.000035130405902,3.022628494453347,,,0.0361181621881336,0.036678016333451934
10,40,0,1.2938368245232361,3.01349419920669,1.0557837316208356,2.9131548205359694,,,0.10479855034853579,0.10546080663751972
20,40,0,0.9479660548901094,3.0362094016581977,0.9216087276210692,2.987194271807914,,,0.07174884620366007,0.0680525653759032
30,40,0,1.0811934582033729,3.165828857075809,0.9766208220738042,3.0645184026026953,,,0.06198590875313786,0.06269422208465109
40,40,0,1.1464911071493091,3.1793059536380923,0.9883157672624999,3.072658256171345,,,0.05230756259069389,0.050782621148877743
50,40,0,1.145040549112192,3.164871218730756,0.9834021933466551,3.015806482528705,,,0.04688899807499779,0.04638500244055233
60,40,0,1.132377406854154,3.1930410724054354,0.9763331880858843,3.0231054682312912,,,0.0419090632784292,0.042308312724792255
70,40,0,1.1287723954695323,3.185393942917969,1.0052439189049787,3.049713468664766,,,0.03971485455945206,0.03868382280964015
80,40,0,0.9541939783879272,3.0459888253807748,0.9337217196322332,3.0234159270641427,,,0.03493888648423058,0.03549223217683216
90,40,0,1.0215754416589853,2.9822543451755763,0.9935702962856894,2.9629735228433627,,,0.033543161256247615,0.034035108718522736
100,40,0,1.0140243126613342,3.0209021571595613,0.9778037011855378,2.986691988842316,,,0.03170498451096773,0.031637608542608005
10,50,0,1.1223322235731743,2.946099284502047,1.023487906651315,2.91820784233347,,,0.09948841446330323,0.0937574711239847
20,50,0,1.048288123596187,3.2590232887810515,0.9413215571487691,3.0991534216535803,,,0.06608136706739737,0.06398463020400023
30,50,0,1.0986349439851253,3.247714253014877,0.9711942595496365,3.0997637846728208,,,0.05354302145980609,0.05328882878481169
40,50,0,0.9978324700904508,2.944733087438408,0.9764806003384072,2.9218553852144677,,,0.044882703999399365,0.04674257154479245
50,50,0,0.9673456954503905,3.101460723277711,0.9036710147906186,3.044500057092536,,,0.040845513861637685,0.04029916895267162
60,50,0,1.145818228632038,3.149875030527298,0.9933016030730814,2.9996905781531074,,,0.03790124649549515,0.03664035720060632
70,50,0,1.154071908021578,3.1568839117196923,1.0119807935299199,2.998928286361353,,,0.03478866429319832,0.03461418257668384
80,50,0,1.1763031017583359,3.1280131173545556,1.0278242160170459,2.9725168492376346,,,0.03131845416944275,0.03243001334553082
90,50,0,1.1852891298956933,3.132234769389896,1.0664821115828,3.0070557577283785,,,0.030085288959202858,0.03018072324653548
100,50,0,1.0318522849108263,2.9497513651851435,1.0156251795169202,2.9245542079616795,,,0.028510998460134166,0.028376258489032934
10,60,0,1.152158260190582,3.0796408207926973,0.9575711620548869,2.930694283797647,,,0.08790088298803826,0.09026802424324261
20,60,0,1.158506375264384,3.1794589485022087,1.0858300930581488,3.1061880084079587,,,0.05927874914549269,0.061969532989994046
30,60,0,1.1534550771829615,3.0791793059657024,1.0579823458456874,2.9204291450336264,,,0.047479448026050995,0.04799702997022639
40,60,0,1.1407408189100678,3.229664964252656,0.9711251035461929,3.0593219184068032,,,0.04126478473333529,0.040404175367150824
50,60,0,1.2142966343121344,3.148430850696677,1.060904496695274,3.0137001360162254,,,0.036876357444153386,0.03750586203658487
