T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,100,1.1226527242743494,3.1123532753820373,0.12265272427434937,0.03745109179401244,,,,,,,0.1469098598227183,0.15364047810764134,1.0079726912550528,3.0020180933117047,0.007972691255052844,0.0006726977705682202,0.06716637481920287,0.06585162082917698,0.8763290156372973,2.87295128816293,1.1396163668728085,3.1310848984604793,0.07782517312915749,0.08678924321258832
20,100,1.0941581001678693,3.0763023026049763,0.0941581001678693,0.025434100868325427,,,,,,,0.13491980754269456,0.1112200941254171,0.9950629710651425,2.9839172178526807,0.004937028934857479,0.005360927382439762,0.04636825552568267,0.04610606032333941,0.9041828602088542,2.8935510001499045,1.0859430819214309,3.074283435555457,0.0519664295139369,0.05156828269805148
50,100,1.070764876535139,3.0643666619203187,0.07076487653513897,0.021455553973439567,,,,,,,0.10480834688796076,0.10524976127728981,1.0096872144036289,3.0017256777816668,0.009687214403628852,0.000575225927222256,0.028870483852602692,0.02873821128501831,0.9531021058362824,2.945399818682928,1.0662723229709754,3.0580515368804053,0.023929600445948003,0.02979856586995058
100,100,1.012929682350617,3.005705903083412,0.012929682350617089,0.0019019676944706336,,,,,,,0.027836810126765952,0.016636219600950894,1.004846000089307,2.997507527278981,0.004846000089306912,0.0008308242403396449,0.02018450076971036,0.02022102421372688,0.9652851055347536,2.957875048089564,1.0444068946438603,3.037140006468398,0.018608309707905363,0.013496982530585462
100,10,1.1068408866769257,3.0980207568828115,0.1068408866769257,0.03267358562760384,,,,,,,0.13827966727608634,0.1314122708479724,0.9945238478403928,3.0010142812964054,0.005476152159607173,0.00033809376546845016,0.06775526490527323,0.06704084173410632,0.8617259688630866,2.869616646004307,1.127321726817699,3.1324119165885036,0.04142011143676057,0.0569230524961564
100,20,1.1135995307461646,3.1464970809538877,0.11359953074616458,0.048832360317962564,,,,,,,0.14343794790064762,0.1705983880666497,0.9944493480477952,3.0247636050274087,0.0055506519522048325,0.008254535009136236,0.04640950739046325,0.04613664581700373,0.9034883850222417,2.934337440858601,1.0854103110733486,3.1151897691962165,0.04574512131723091,0.07033341484693643
100,50,1.006926299207136,2.9892109458368434,0.006926299207135944,0.0035963513877188547,,,,,,,0.02574308379338281,0.029398714753414015,0.9971286025448054,2.9812001713347973,0.002871397455194602,0.006266609555067563,0.028740061924709008,0.02879685578825017,0.9407991162589249,2.924759371121833,1.053458088830686,3.0376409715477615,0.023014650445551336,0.03177238640362885
