T,N,sim,beta_interactive.1,beta_interactive.2,beta_within.1,beta_within.2,sde_interactive.1,sde_interactive.2,sde_within.1,sde_within.2
10,100,0,0.9797938232973067,3.080215995021476,0.9097750962829468,3.002127357499143,,,0.06582582633758872,0.06759063501425183
10,100,1,1.2077617122029523,3.221754851806722,1.0559190080996148,3.06058017804131,,,0.06525566778363032,0.06394981803325818
10,100,2,1.2262444658567233,3.1007100746553817,0.9623013501925214,2.9209398983060457,,,0.07160289139066842,0.07057919118226161
10,100,3,1.0546116361782722,3.181014181102995,0.9278217994314937,3.0240375885377793,,,0.06524353297568394,0.06903540200295254
10,100,4,1.1234914960051796,3.1453144025801123,0.9848893180944628,2.9857978533649665,,,0.06609838107529295,0.06621618104640448
10,100,5,1.1357993370836041,3.1036426449581285,1.0756732329120575,3.024869643851671,,,0.06705289026067425,0.06669220821836772
10,100,6,1.1272034840952045,3.146310672249264,0.9827770457308697,3.0275149126702456,,,0.06881384029254738,0.06975567907368069
10,100,7,1.0296720222229894,2.950139306597606,0.9851823965735418,2.9241622464208,,,0.06776638523430838,0.06801570178116897
10,100,8,1.1806867109714645,3.1927372975316572,1.065533289197073,3.077056089297128,,,0.07054069378678116,0.06579968467558636
10,100,9,1.196683706873408,3.1187887480590177,1.011135747879273,2.9429801029358247,,,0.06905047293829066,0.0687794638586105
20,100,0,1.1419264398536768,3.1015883825245467,1.0858798338647635,3.001635652385933,,,0.04625059003040933,0.04586945524086607
20,100,1,0.9788058249646099,2.9466566668741905,0.9744449327821418,2.9369035787424487,,,0.04767481839434734,0.04668533485639557
20,100,2,0.9722253547966346,2.923318669324523,0.9620850820137361,2.932956842223508,,,0.04638833900752202,0.04568199864614841
20,100,3,1.2638119406664643,3.11447209572826,1.115309733620784,2.999180069194996,,,0.045679635475026285,0.044980951043390234
20,100,4,1.1662315803954257,3.176024355074425,1.0349030589045296,3.036216226756361,,,0.04515708467493518,0.04509420149801506
20,100,5,1.2257466187641413,3.12215988491225,1.0422504577345226,2.9674612111950793,,,0.04635511059786015,0.04636009415704302
20,100,6,0.9983515751085079,3.0237532262240663,0.9972214558286273,3.02481762279636,,,0.044392549348655906,0.045853730339763414
20,100,7,0.9622586236301984,3.020549086004518,0.9605677528641177,3.033127658126901,,,0.04693184996130176,0.045993112641468485
20,100,8,1.2021365425616466,3.16429744645405,1.0259222033224524,2.996037517806037,,,0.04821945437197023,0.04710049654053661
20,100,9,0.9953430830692724,2.924539597567822,0.9876517199891626,2.9325641532988778,,,0.045572997463547364,0.04746586880877492
50,100,0,0.9978945507352321,3.0206810929451606,0.975763295605892,3.0066946320664916,,,0.028816787623295415,0.0290809679227988
50,100,1,1.1868141449982588,3.168301149251924,1.0415678876687662,3.026045739347567,,,0.029596784724639724,0.028788203394510374
50,100,2,0.9295234234831184,2.986466337795214,0.9291311490630166,2.97888091820969,,,0.028961013449459266,0.029175391790319364
50,100,3,1.054827661697722,3.0160785754709067,1.0309261664073217,3.00694681424244,,,0.027893285627695483,0.028237205087018696
50,100,4,1.0352326327281887,3.039421436311059,1.0128701854424826,2.997834882036953,,,0.02871792880776385,0.028988965358630808
