T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,bias_interactive.1,bias_interactive.2,bias_interactive.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,mean_within.1,mean_within.2,mean_within.3,bias_within.1,bias_within.2,bias_within.3,sde_within.1,sde_within.2,sde_within.3,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_u_within.1,ci_u_within.2,ci_u_within.3,rmse_within.1,rmse_within.2,rmse_within.3
10,100,1.0792469770422604,3.034588756302359,4.62654112188798,0.07924697704226036,0.011529585434119602,0.07469177562240396,,,,,,,,,,0.17246480212434173,0.13495027620785158,0.7722366609168462,1.4604047702823606,3.4068824063861927,4.212479404091354,0.4604047702823606,0.13562746879539755,0.15750411918172916,0.05345682476117598,0.05319268548329725,0.07632283344424307,1.3556313190225866,3.3026266585979633,4.0628893993425885,1.5651782215421346,3.511138154174422,4.36206940884012,0.463040323210859,0.41123133663427663,0.8023906250104774
20,100,1.0145131934960776,2.996032369952166,4.974278338408636,0.014513193496077603,0.0013225433492780603,0.0051443323182727594,,,,,,,,,,0.05370527167156388,0.07436676214933638,0.21452110084334441,1.4384616465837634,3.418906210632586,4.184927228948927,0.4384616465837634,0.13963540354419526,0.16301455421021452,0.036927902642227214,0.03685661919014889,0.05356722510035879,1.3660842873803967,3.3466685644279863,4.079937397000474,1.5108390057871302,3.4911438568371853,4.2899170608973805,0.4392019233119573,0.42029908040475444,0.8329307002728318
50,100,0.9987651116004364,3.003146357873031,4.996819833431266,0.0012348883995636495,0.0010487859576769527,0.0006360333137468644,,,,,,,,,,0.030076978323324698,0.03219895558211179,0.060946310961495644,1.43925979822122,3.436800406239886,4.163739143334356,0.4392597982212201,0.14560013541329533,0.1672521713331289,0.02258856318192163,0.02265301500139891,0.033217294095219625,1.3949870279221461,3.3924013126958985,4.09863444324385,1.483532568520294,3.4811994997838736,4.228843843424861,0.4402974293103406,0.4372314342907522,0.8634100395619667
100,100,1.0069357569213921,2.9950951252471074,4.988641095261885,0.006935756921392144,0.0016349582509641951,0.0022717809476230145,,,,,,,,,,0.030153822934877384,0.024223231933025436,0.03233656772596938,1.443337941910412,3.433429221518472,4.061344709702868,0.443337941910412,0.14447640717282395,0.1877310580594264,0.015916452416436792,0.01592736414118452,0.023881053906768878,1.4121422684125504,3.4022121614330953,4.014538704132741,1.4745336154082735,3.4646462816038484,4.108150715272995,0.44347861550160905,0.43378936905269333,0.9459157456020494
100,10,1.0305616951948882,3.08462452214672,4.588730168244221,0.03056169519488816,0.02820817404890663,0.08225396635115576,,,,,,,,,,0.16701561967193762,0.11331737594561664,1.045811202202285,1.4274775799178356,3.4493365526071194,4.246640637119085,0.42747757991783564,0.14977885086903978,0.15067187257618303,0.052651487425133245,0.05223370954672886,0.07508748170977968,1.324282560832111,3.346960363116605,4.0994718772781065,1.5306725990035603,3.5517127420976338,4.393809396960063,0.4309349823772769,0.451423430089802,0.8496027660335385
100,20,0.9742370679292292,2.9978589717609867,4.993164345050471,0.02576293207077085,0.0007136760796710995,0.001367130989905796,,,,,,,,,,0.061226770389276694,0.05589452807068176,0.11685104980970795,1.4310230326921112,3.4461456489512337,4.088586234356663,0.4310230326921112,0.14871521631707788,0.18228275312866735,0.03686644380879137,0.03698553170253869,0.05412646687207735,1.3587661305888104,3.3736553388651935,3.9825003086769915,1.503279934795412,3.5186359590372738,4.194672160036335,0.4335763539613324,0.44858631495062173,0.9741406330730132
100,50,0.9972151938607346,3.003268244180054,4.99932958767566,0.00278480613926535,0.0010894147266845937,0.0001340824648680794,,,,,,,,,,0.02207720935354455,0.024351019884919903,0.027504684778600005,1.4265549499517554,3.4391806144689534,4.057110091533174,0.42655494995175536,0.1463935381563178,0.18857798169336526,0.02290293462625142,0.02283976333086645,0.03441202364035369,1.3816660229440272,3.3944155009250365,3.9896637645629394,1.4714438769594835,3.4839457280128703,4.124556418503408,0.4273009396615269,0.43997312839735214,0.9554163110793034
