T,N,mean_interactive.1,mean_interactive.2,mean_interactive.3,mean_interactive.4,mean_interactive.5,bias_interactive.1,bias_interactive.2,bias_interactive.3,bias_interactive.4,bias_interactive.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,ci_l_interactive.1,ci_l_interactive.2,ci_l_interactive.3,ci_l_interactive.4,ci_l_interactive.5,ci_u_interactive.1,ci_u_interactive.2,ci_u_interactive.3,ci_u_interactive.4,ci_u_interactive.5,rmse_interactive.1,rmse_interactive.2,rmse_interactive.3,rmse_interactive.4,rmse_interactive.5,mean_within.1,mean_within.2,mean_within.3,mean_within.4,mean_within.5,bias_within.1,bias_within.2,bias_within.3,bias_within.4,bias_within.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5,ci_l_within.1,ci_l_within.2,ci_l_within.3,ci_l_within.4,ci_l_within.5,ci_u_within.1,ci_u_within.2,ci_u_within.3,ci_u_within.4,ci_u_within.5,rmse_within.1,rmse_within.2,rmse_within.3,rmse_within.4,rmse_within.5
40,20,1.2832332855951938,3.07011180444564,4.430009212675157,1.9806176323493068,3.910042111231848,0.2832332855951938,0.023370601481880044,0.11399815746496866,0.009691183825346616,0.022489472192038007,,,,,,,,,,,,,,,,0.2832332855951938,0.07011180444564014,0.5699907873248433,0.019382367650693233,0.08995788876815203,1.4495435511552617,3.3400763434948075,3.938956562246328,,,0.4495435511552617,0.11335878116493585,0.21220868755073444,,,0.0620054503857936,0.0633659844698272,0.0995458367643018,,,1.328015101553921,3.2158812960890217,3.743850307377393,,,1.5710720007566024,3.4642713909005933,4.134062817115263,,,0.4495435511552617,0.34007634349480753,1.0610434377536722,,
50,20,1.232273882661139,3.1915183856096663,4.308240935746638,1.8150009179500368,4.030003667327689,0.23227388266113902,0.06383946186988876,0.13835181285067238,0.09249954102498159,0.007500916831922222,,,,,,,,,,,,,,,,0.23227388266113902,0.19151838560966628,0.691759064253362,0.18499908204996318,0.030003667327688888,1.3806378300133746,3.3263292811504845,4.1786097995013805,,,0.3806378300133746,0.10877642705016151,0.1642780400997239,,,0.0526043449981708,0.0564163475752436,0.0835201494332851,,,1.27753520838664,3.2157552717637135,4.014913314628738,,,1.4837404516401091,3.4369032905372556,4.342306284374023,,,0.3806378300133746,0.32632928115048454,0.8213902004986195,,
60,20,1.0037540848892634,2.9489781226339566,5.0625419441762505,1.9145667541070943,4.007047903393077,0.0037540848892634315,0.017007292455347784,0.012508388835250095,0.04271662294645284,0.0017619758482692038,,,,,,,,,,,,,,,,0.0037540848892634315,0.051021877366043356,0.06254194417625047,0.08543324589290568,0.007047903393076815,1.428828112069225,3.3637755824026243,3.210772684510325,,,0.428828112069225,0.12125852746754144,0.357845463097935,,,0.0496795289762399,0.0510457679390818,0.0749668820785387,,,1.3314580245068808,3.2637277156788347,3.0638402956031277,,,1.5261981996315692,3.463823449126414,3.357705073417522,,,0.428828112069225,0.3637755824026243,1.7892273154896752,,
70,20,1.101100578457597,3.1482938174103,4.486463442761889,2.0069907648938927,4.117495154287164,0.1011005784575969,0.04943127247010004,0.1027073114476222,0.00349538244694636,0.02937378857179107,,,,,,,,,,,,,,,,0.1011005784575969,0.14829381741030012,0.513536557238111,0.00699076489389272,0.11749515428716428,1.375535236760844,3.458144551373885,4.147161076393466,,,0.375535236760844,0.1527148504579617,0.17056778472130674,,,0.0455284570381458,0.0459528576207379,0.0641693664669476,,,1.2863011006943992,3.368078605450542,4.021391429207497,,,1.4647693728272888,3.5482104972972284,4.272930723579436,,,0.375535236760844,0.4581445513738851,0.8528389236065337,,
80,20,1.0186353605317406,3.051173769762624,4.99834698719939,1.924768089265432,3.9577106321643294,0.01863536053174064,0.017057923254208074,0.0003306025601219176,0.037615955367284015,0.010572341958917653,,,,,,,,,,,,,,,,0.01863536053174064,0.05117376976262422,0.0016530128006095879,0.07523191073456803,0.04228936783567061,1.2806303576330542,3.313667681070161,5.01339894820879,,,0.2806303576330542,0.10455589369005362,0.002679789641758035,,,0.0444800412324997,0.0440976851090067,0.0792255351813978,,,1.1934510787864983,3.2272378064549194,4.858119752597339,,,1.3678096364796102,3.4000975556854023,5.168678143820241,,,0.2806303576330542,0.31366768107016085,0.013398948208790173,,
90,20,0.9660483508249114,2.9846365536431985,5.017840091724709,2.036497154662676,3.9522071580912463,0.03395164917508864,0.005121148785600512,0.0035680183449418477,0.01824857733133789,0.011948210477188415,,,,,,,,,,,,,,,,0.03395164917508864,0.015363446356801536,0.01784009172470924,0.03649715466267578,0.04779284190875366,1.3351664783467687,3.3909265087771985,2.491837731582744,,,0.3351664783467687,0.13030883625906617,0.5016324536834512,,,0.0409526515996245,0.0406491701451773,0.058762966041555,,,1.254900756140088,3.31125559929121,2.376664434516546,,,1.4154322005534494,3.470597418263187,2.607011028648942,,,0.3351664783467687,0.3909265087771985,2.508162268417256,,
100,20,1.0659801538371847,2.965970663201637,4.964667013066052,2.08084529834412,3.9641253021698777,0.0659801538371847,0.011343112266120947,0.007066597386789652,0.040422649172060066,0.008968674457530579,,,,,,,,,,,,,,,,0.0659801538371847,0.03402933679836284,0.03533298693394826,0.08084529834412013,0.035874697830122315,1.4547792877183303,3.3454374089843686,4.191024774226111,,,0.4547792877183303,0.11514580299478953,0.16179504515477774,,,0.0373675539548062,0.036923711083507,0.0527668625265406,,,1.381540227776553,3.2730682650851324,4.087603624096915,,,1.5280183476601077,3.417806552883605,4.2944459243553075,,,0.4547792877183303,0.3454374089843686,0.8089752257738887,,
10,30,1.3571011347765474,3.3536625187196103,3.02937814636086,1.855154349413077,3.2746350689072123,0.35710113477654737,0.1178875062398701,0.394124370727828,0.07242282529346145,0.18134123277319691,,,,,,,,,,,,,,,,0.35710113477654737,0.3536625187196103,1.9706218536391402,0.1448456505869229,0.7253649310927877,1.4795464015286128,3.380458977081113,4.412725107202028,,,0.47954640152861283,0.12681965902703762,0.11745497855959446,,,0.1032580596160528,0.1000434651144431,0.1300034880738606,,,1.2771643235676595,3.184377388568215,4.157922952712679,,,1.6819284794895661,3.576540565594011,4.667527261691377,,,0.47954640152861283,0.38045897708111287,0.5872748927979723,,
20,30,1.3085164233170847,3.1194062130382485,4.300527957684512,1.8070539856048204,3.872147893171446,0.30851642331708473,0.0398020710127495,0.1398944084630976,0.09647300719758978,0.031963026707138464,,,,,,,,,,,,,,,,0.30851642331708473,0.1194062130382485,0.6994720423154881,0.19294601439517955,0.12785210682855386,1.3672662152071642,3.310708248619713,4.069045361835616,,,0.3672662152071642,0.10356941620657094,0.18619092763287687,,,0.0761385785838983,0.0727962301611856,0.1309806966379723,,,1.2180373433486509,3.168030259293501,3.8123279137552233,,,1.5164950870656775,3.453386237945925,4.325762809916008,,,0.3672662152071642,0.3107082486197128,0.9309546381643843,,
30,30,1.0314135444508,2.938853670941604,5.032886653216088,2.076061830383969,3.928022505394608,0.03141354445079991,0.020382109686132004,0.006577330643217571,0.03803091519198443,0.01799437365134804,,,,,,,,,,,,,,,,0.03141354445079991,0.06114632905839601,0.03288665321608786,0.07606183038396885,0.07197749460539216,1.454930405250656,3.3633507273024854,5.267757327350596,,,0.454930405250656,0.12111690910082847,0.0535514654701192,,,0.0539392658793665,0.054070661154904,0.0818071390310658,,,1.3492113867745674,3.257374178818605,5.107418281171446,,,1.5606494237267445,3.469327275786366,5.428096373529746,,,0.454930405250656,0.3633507273024854,0.267757327350596,,
40,30,1.0318166182083202,3.055784360606904,5.103618090291748,2.041863826804033,3.82134374174273,0.03181661820832016,0.018594786868967983,0.020723618058349658,0.0209319134020165,0.044664064564317485,,,,,,,,,,,,,,,,0.03181661820832016,0.05578436060690395,0.10361809029174829,0.041863826804033,0.17865625825726994,1.3175579277156555,3.365921686387556,5.244824609987321,,,0.3175579277156555,0.12197389546251862,0.04896492199746412,,,0.0485182590227679,0.0475188240350597,0.0790571978711596,,,1.2224638874384448,3.2727865026911425,5.089875349441191,,,1.4126519679928662,3.4590568700839692,5.39977387053345,,,0.3175579277156555,0.36592168638755584,0.24482460998732058,,
50,30,1.051702881104907,3.1779406255438847,4.684432325105334,2.006719080080272,3.98939885760154,0.05170288110490695,0.05931354184796156,0.06311353497893321,0.0033595400401360553,0.0026502855996149988,,,,,,,,,,,,,,,,0.05170288110490695,0.17794062554388468,0.3155676748946661,0.006719080080272111,0.010601142398459995,1.3974212050643051,3.4798597159392832,3.900858479754365,,,0.3974212050643051,0.15995323864642774,0.21982830404912698,,,0.0435216578625626,0.0427678295279183,0.055662951337189,,,1.312120323106208,3.3960363103676148,3.791761099860269,,,1.4827220870224023,3.5636831215109517,4.0099558596484615,,,0.3974212050643051,0.4798597159392832,1.099141520245635,,
60,30,0.9553471087917338,3.003957710834605,5.039198972487875,2.058038802927641,3.9127960572573457,0.04465289120826621,0.0013192369448683887,0.007839794497574992,0.029019401463820538,0.021800985685663576,,,,,,,,,,,,,,,,0.04465289120826621,0.003957710834605166,0.03919897248787496,0.058038802927641076,0.0872039427426543,1.4048074202198502,3.4086219503736688,3.1895824134954145,,,0.40480742021985017,0.13620731679122292,0.3620835173009171,,,0.0388584543456915,0.0381936687627463,0.0565994892974422,,,1.328646249207401,3.3337637351612335,3.0786494529290676,,,1.4809685912322994,3.483480165586104,3.3005153740617614,,,0.40480742021985017,0.4086219503736688,1.8104175865045855,,
70,30,1.053200116507954,3.058787133514681,4.926126403749382,1.9873938588982056,3.971261869148818,0.05320011650795409,0.019595711171560264,0.014774719250123525,0.006303070550897183,0.0071845327127955105,,,,,,,,,,,,,,,,0.05320011650795409,0.05878713351468079,0.07387359625061762,0.012606141101794366,0.028738130851182042,1.380109644436703,3.374493561582277,3.793275419388528,,,0.3801096444367029,0.1248311871940923,0.24134491612229442,,,0.0351435677113332,0.0350532236968521,0.0510869561382572,,,1.3112295174342452,3.3057905055944206,3.693146825277766,,,1.4489897714391606,3.443196617570133,3.8934040134992896,,,0.3801096444367029,0.37449356158227687,1.2067245806114721,,
80,30,0.9850687962741298,3.0250182928894085,4.898322097407779,1.9803130265835696,4.018923227924694,0.014931203725870201,0.008339430963136163,0.020335580518444196,0.009843486708215221,0.004730806981173563,,,,,,,,,,,,,,,,0.014931203725870201,0.02501829288940849,0.10167790259222098,0.019686973416430442,0.018923227924694253,1.4043363648175502,3.4367798314252767,4.882307060245,,,0.4043363648175502,0.14559327714175888,0.02353858795099999,,,0.0344889744113855,0.0348295657244802,0.0590992937841617,,,1.3367392171075112,3.3685151370081248,4.766474572916291,,,1.4719335125275892,3.5050445258424285,4.998139547573709,,,0.4043363648175502,0.43677983142527665,0.11769293975499995,,
90,30,1.0386835316598504,2.935056571188123,5.0535394051697065,2.06389901183748,3.945837422843749,0.03868353165985039,0.02164780960395903,0.010707881033941291,0.03194950591874002,0.013540644289062764,,,,,,,,,,,,,,,,0.03868353165985039,0.06494342881187709,0.053539405169706455,0.06389901183748004,0.05416257715625106,1.428998336878404,3.338419652228517,3.3224936717635187,,,0.42899833687840405,0.112806550742839,0.33550126564729627,,,0.0324679670920049,0.0322113063892256,0.0509864810637294,,,1.3653622907268428,3.27528665181065,3.2225620051801758,,,1.4926343830299653,3.401552652646384,3.4224253383468617,,,0.42899833687840405,0.338419652228517,1.6775063282364813,,
