T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_within.1,beta_within.2,beta_within.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_within.1,sde_within.2,sde_within.3
10,100,0,1.1069397879305933,3.056549910426194,4.814321215064668,1.4305569999256744,3.3941855551905924,4.4999674324899654,,,,0.05701269168600295,0.05510585761069379,0.07275275073633236
10,100,1,1.1834859030365654,3.2841973791960335,2.4993318310401094,1.245276594623613,3.391541870509127,4.503246195767199,,,,0.05733551289891649,0.056061391870383295,0.07234549123974575
10,100,2,1.0341908765814738,3.0197370798482277,4.868558339096426,1.404943284547741,3.414287455170294,4.067456266791374,,,,0.05636824629649069,0.05705092158106503,0.08278508672764484
10,100,3,0.8577025454173914,3.0185963750567035,5.067527206554163,1.3477455616795602,3.4970004450388292,4.916683137426081,,,,0.05090495910488801,0.05159561412994076,0.06610921986023674
10,100,4,1.0124058832940177,3.069397268656457,4.842757742620693,1.4013790281151215,3.4221322605971296,4.88023727189028,,,,0.05485500399725657,0.053883729097529746,0.06663911713120069
10,100,5,1.306007015049573,3.2079449193110046,3.2390625189992157,1.4230165409712137,3.329503471552071,3.7874148032385957,,,,0.055829241011614614,0.055194387996259524,0.09838910464667441
10,100,6,1.0442929730881416,3.0124732168691004,4.920386069600857,1.4154173372499186,3.4339042437230027,4.072968323738367,,,,0.054416876059038846,0.05207338157459453,0.08255975000427321
10,100,7,1.0358174255213664,3.1359895554738215,4.648201702245226,1.3567475382203709,3.4996528374770692,3.874081727679851,,,,0.054793638413690025,0.0541949559961614,0.07930185205305129
10,100,8,0.9717138442498556,2.9572622587174178,5.128477235614071,1.4168427578958587,3.4050889578624015,4.7219519681902336,,,,0.055172367746968674,0.05431354199923934,0.06937393303712446
10,100,9,1.0092335047214949,3.038644919157324,4.881974747458319,1.346059014030591,3.3928252892366144,4.0764879503511535,,,,0.054232811140979,0.05241483567769025,0.08538725290868929
20,100,0,0.9457169243448643,2.99188738254617,5.029645465365862,1.4231183765422124,3.427862619087926,3.9879159327393507,,,,0.03701722194400967,0.036789800874589426,0.05874261294393704
20,100,1,0.9374110625362004,3.0045970059193206,5.103413480634287,1.3380502971133021,3.4308273827434306,4.413477051873455,,,,0.039748155751697656,0.03991724916913264,0.05732840131017701
20,100,2,0.9928649831537221,3.005718854451218,4.939332199123619,1.4177608516194322,3.39798222672096,4.3344598425550664,,,,0.036186840215598856,0.03694072583708326,0.05087893443717288
20,100,3,0.975850372610719,3.08742909765963,4.981017611585466,1.3677523563579321,3.5069444655957724,4.16299275796382,,,,0.037481568450373884,0.03721068572453649,0.055279387601713526
20,100,4,0.8995862481587179,3.004341894052026,5.117731597809342,1.3010197663858345,3.4119177228568294,4.309892484844263,,,,0.03808188381093912,0.03816116790488986,0.05773977996239913
20,100,5,1.014558715214443,3.0224902124261375,4.940600532496273,1.3502070580095062,3.37949083220001,4.424273564790569,,,,0.037303802196333835,0.03885393988843588,0.053034527947850116
20,100,6,1.0752874670257566,3.049037071068149,4.902069682769342,1.3428125435024088,3.3529875510914255,4.1289547636741615,,,,0.038505278284450696,0.037157676205014485,0.06617886289760821
20,100,7,0.93671838514978,2.927394564377506,5.124934770434391,1.413003389452142,3.3756426088659177,4.3024683101819905,,,,0.03705621651247053,0.036401314382966066,0.05402360974428381
20,100,8,0.9815472654187491,2.96405664003612,5.048087602822028,1.3904147547393189,3.367257817815558,4.237936910979412,,,,0.038912315103843235,0.03848119141443779,0.05880817330951213
20,100,9,1.1806584069020223,3.0789558560418437,4.571362475978379,1.4197550059078452,3.370394604110756,3.592436689516635,,,,0.03834236594277565,0.03811011686285488,0.07681601046312565
50,100,0,0.9702766151129382,2.9421940481646947,5.078402184446471,1.391682840912724,3.3826239700965868,3.879200367098082,,,,0.02327197121170169,0.023713905854100777,0.0415775895924799
50,100,1,0.9686991062069009,3.0543153110272367,4.944633043430738,1.382948718601115,3.453052431154884,4.244157719852673,,,,0.02349241671337992,0.02355710247741905,0.03303440542788827
50,100,2,0.9598057777925562,3.010280313316338,5.071282801351835,1.3543512213916185,3.4102274701229307,4.2847735062499375,,,,0.02329679005288369,0.023605227897539473,0.03463868054647496
50,100,3,1.0416524475398397,3.0591106614256436,4.864786005771526,1.366204775149894,3.381070289740525,4.450906756236778,,,,0.02362690297502522,0.02353049219026497,0.03353569495501097
50,100,4,1.0389951867967744,3.062257875683621,4.842153873219823,1.415548625683801,3.431071769981524,4.035789264254575,,,,0.022962935319075124,0.02262052879797316,0.03558570865618319
50,100,5,0.9738128623889508,2.9822165855159,5.047768414537005,1.3993161453105487,3.4045331238101486,3.975569533880793,,,,0.023332938928873788,0.02350870609647845,0.03957238122257847
50,100,6,1.0087316050350812,2.989104252105834,4.981463058610636,1.4036297100609307,3.376090508339151,4.338629073686353,,,,0.02406615847365554,0.023971501927381757,0.03440956820041153
50,100,7,1.0246786811041784,3.0564461541780963,4.878034424176866,1.3728991787388565,3.4144423459113797,4.258135164651399,,,,0.023483627627383877,0.023360167906748507,0.03493997539479667
50,100,8,1.0739923501610211,3.0937879717350234,4.758814775795836,1.3908336224172175,3.4175044586816306,3.827027748825966,,,,0.023436162317691255,0.023315841908279487,0.04007369935869775
50,100,9,0.9327942854550489,2.9883817321017556,5.064728415811871,1.3542766983745786,3.383049024871994,4.210602441099052,,,,0.023584864115829593,0.023635252509840863,0.03659992143651432
100,100,0,1.0055802589044935,2.982282560755993,5.0298731606351605,1.4232025914856845,3.4123183618531394,4.265047180713245,,,,0.01633503085202891,0.016251072760867857,0.02383393331545966
100,100,1,0.9761654828124641,2.9934591848529952,5.013304956498082,1.389338330824473,3.4041149981883008,4.371967437649367,,,,0.016740239104559594,0.016648503765306764,0.023756060800287387
100,100,2,1.0176350657249684,3.009528954203241,4.934369784462964,1.4197999921094422,3.4062129286958367,4.159059508004878,,,,0.01661233051768984,0.016508495361948344,0.024733314573042252
100,100,3,1.0059663221005142,2.9597667302915713,5.020933527274018,1.4091523995811055,3.364244526891576,4.335127931907165,,,,0.016366874355870583,0.016356880925457846,0.023669704727586328
100,100,4,1.0108588681086943,3.0253876426286164,4.968208187710334,1.3739644454713842,3.398661522003515,4.126730612254845,,,,0.01607368050119282,0.01621094568212079,0.025553143274720767
