T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
10,100,0,0.9184033431197212,3.0315616781099073,5.03716103429491,1.996548156145379,4.054607402392576,1.358631606124862,3.4821724978506134,5.000643284676178,,,,,,,,0.050527387948464744,0.05012112858589003,0.07281562196104101,,
10,100,1,1.34377837281582,3.4894605236820952,3.2901274149403616,1.3784879297112829,3.517791560264401,1.3482194069684275,3.4954532331079227,5.615846113558103,,,,,,,,0.05471767674899063,0.054988044432433665,0.07844894328390865,,
10,100,2,1.2188464514883846,3.2455601319712883,3.1727686200145824,2.1285081858204626,3.9423254624152317,1.3378771934230829,3.29109650393431,6.4465467496046225,,,,,,,,0.057808486323759276,0.05650532206736683,0.0974459118441724,,
10,100,3,1.4542855558508405,3.3448116699903037,30.154594283656913,2.3397885482439604,1.2367529560537132,1.5100181682362417,3.3765409785619145,2.311291263774658,,,,,,,,0.05279216859033391,0.05157152592408148,0.07176444078354045,,
10,100,4,1.1537490219761692,3.0987730914558473,4.326119615071306,2.1549225446579854,4.0442156363241795,1.4840960416768239,3.417737772018506,5.670234233800339,,,,,,,,0.05130313735448727,0.04999706487393471,0.07804449951386742,,
10,100,5,1.0535485716764301,3.121292492835397,4.605798185680729,2.2220774698655728,3.8720041514248607,1.4424893613946022,3.4967727203292363,3.3471487927239236,,,,,,,,0.05274285945843709,0.05251446086379339,0.07516983245675424,,
10,100,6,1.0501917753649925,3.0023235581433876,4.911116289390725,1.9335775341836188,4.10968327342178,1.4988659464545226,3.455475066695645,2.2874244656015015,,,,,,,,0.05352349622253368,0.05396987166023019,0.068174607261388,,
10,100,7,1.2984128619771753,3.3710130194502708,1.5586260314043274,1.8990527046551682,4.105972506689328,1.3937867840696392,3.4396313308564457,6.00753547522612,,,,,,,,0.05339430153745782,0.0511390035459104,0.08451515991846374,,
10,100,8,1.051344873838327,2.953162834008689,5.082409532840044,1.9707474312151192,3.8980634370025484,1.423153006024738,3.3751707965222546,0.8617191467040998,,,,,,,,0.05367667512309458,0.056224086207479436,0.0713030479927651,,
10,100,9,1.1546166703491272,3.123694431747513,4.5685749638228685,2.009457345321973,3.970506530109024,1.4318534701970291,3.49006960230601,2.860363433221789,,,,,,,,0.05389647778665101,0.05564288736866712,0.07324805211675323,,
20,100,0,1.2228157727216569,3.1474807477959494,13.856533776430194,1.9628669441331157,-5.048944606696698,1.5014252536151158,3.4094817189067124,4.205542280645679,,,,,,,,0.03552707857712589,0.03547366356284681,0.0517974252481474,,
20,100,1,1.0416809545244412,3.094249628411866,4.747729151764813,1.8939776683510687,4.0167423563114895,1.413499999200219,3.4122117160789376,3.9550495483301247,,,,,,,,0.036227072231151146,0.03717236206956482,0.05403410042816522,,
20,100,2,1.0787190985390902,3.1150288291648884,4.82209722843709,1.9776528594964302,3.9266952853135297,1.3955182189049133,3.428796071864258,5.227859690169359,,,,,,,,0.03649416824125871,0.03678885061737559,0.053818761691196586,,
20,100,3,0.926106030921698,3.069966840960542,4.954247614509162,2.0017016523514215,4.1240556400131165,1.3962845365476046,3.5325911141819013,4.45308329748003,,,,,,,,0.0368812472803062,0.03642292672178705,0.05055864349444734,,
20,100,4,1.4146171444204008,3.398906253283233,22.953834575305493,1.790801466137184,0.5403857673772938,1.4309016587928816,3.4569929762724625,3.9692718232383273,,,,,,,,0.035997374772202086,0.035606511616883336,0.05285170403850708,,
20,100,5,0.9513981017244957,3.0007681173295855,5.003206805913454,1.970402335562861,3.9747197295893812,1.3455165461238539,3.3935519497143307,2.963431598891233,,,,,,,,0.03861742870872565,0.037614781655870726,0.0591040060284737,,
20,100,6,0.9604684142332358,2.972833723650426,4.998264100094542,1.925402551921823,3.9311576795107985,1.400304117680109,3.4241120748345715,4.893913823097939,,,,,,,,0.036313936173775686,0.035991149552050385,0.053962298684897284,,
20,100,7,0.9921101279118876,3.055089867227423,4.8965818083672294,2.041763886821783,4.00672008614918,1.4109100731099122,3.422446478839862,5.089229720374041,,,,,,,,0.03727617690866051,0.0370675379005586,0.06008271772478501,,
20,100,8,1.0760926820937105,2.9626083316212046,5.005620745051398,1.991011175403766,3.9800278048249487,1.429065236483645,3.2999413233292296,4.640976208524889,,,,,,,,0.039658136158112006,0.03932893102383447,0.05754422531314119,,
20,100,9,1.0062822530525404,2.9609193665440956,4.998594193930221,1.9097416196705952,3.9986704855137187,1.4868462908727367,3.4751393497507603,5.134294549045824,,,,,,,,0.03624422699044637,0.03661282789930334,0.0511894776713451,,
50,100,0,1.0094355840616087,3.0082210762938573,4.99415698634614,1.9560078063517072,4.025140634298645,1.4715269170118679,3.438578004622334,4.533425463950298,,,,,,,,0.022865805488119513,0.022663288112192672,0.03451793000315937,,
50,100,1,1.0600027395083917,2.99876392255887,4.921308647430038,2.0170566248510706,3.970575754712936,1.4844855005662734,3.4535724423320326,3.625455963661566,,,,,,,,0.02265965663326673,0.022593388132574672,0.03332943569559954,,
50,100,2,0.9673124726874684,2.933167783087589,5.095078115657197,2.013807172093247,4.027259571139091,1.4510471928085171,3.404860098922777,4.704145923358116,,,,,,,,0.022937612964700687,0.022717047130483937,0.0322876223581582,,
