T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,100,1.1261948394787105,3.124062817456236,0.12619483947871046,0.04135427248541198,,,,,,,0.14826568741592208,0.14336243601151347,0.9961008284393854,2.999006587092491,0.0038991715606145894,0.0003311376358362909,0.06772505820754657,0.06764139648865423,0.8633621535017153,2.8664318861107345,1.1288395033770555,3.1315812880742477,0.053654383640203966,0.051981086911043646
20,100,1.0906837583810578,3.0517359410688654,0.0906837583810578,0.01724531368962179,,,,,,,0.1455551270318357,0.10570317536709499,1.0186236230924837,2.98609005325265,0.018623623092483665,0.004636648915783266,0.04626224293255751,0.04610852437724015,0.9279512931006283,2.8957190060929725,1.109295953084339,3.076461100412328,0.05305909042250334,0.04138396996716949
50,100,1.0377387793445358,3.0289153801755844,0.037738779344535844,0.009638460058528123,,,,,,,0.08733169420833016,0.07858746194498725,1.0027558397696823,2.9919636276788006,0.0027558397696823,0.0026787907737331196,0.028834178084095757,0.02897534010981876,0.9462418892010405,2.935173004623757,1.0592697903383241,3.048754250733844,0.036290323401200614,0.03501048013993632
100,100,1.0151969070209628,3.013022341027315,0.015196907020962769,0.004340780342438381,,,,,,,0.058674593519084564,0.04099791591191419,1.0014492042845422,2.999013131205706,0.0014492042845422048,0.0003289562647646645,0.020318354021859282,0.02019962726112971,0.9616259621765635,2.959422589272758,1.041272446392521,3.038603673138654,0.0239952509005903,0.013389108693276105
100,10,1.0952060657957312,3.102906404074873,0.09520606579573121,0.03430213469162435,,,,,,,0.12352373254146035,0.16309415674725306,0.9625775269436158,2.979660457782823,0.03742247305638424,0.006779847405725607,0.06813421170790317,0.06802490152768145,0.8290369258810982,2.846334100736684,1.0961181280061332,3.1129868148289623,0.07165340338113257,0.07153493704723224
100,20,1.054963157905582,3.0637998058893103,0.05496315790558204,0.021266601963103444,,,,,,,0.09436050336718864,0.09605381670186369,0.9962079202135538,3.0101583242187315,0.003792079786446245,0.0033861080729105097,0.045895822562962374,0.04583747492058684,0.9062537609493067,2.9203185242321235,1.0861620794778009,3.0999981242053396,0.024411887836591106,0.030640461914248726
100,50,1.0212256911628437,3.034962468008979,0.021225691162843674,0.011654156002992947,,,,,,,0.08685599203420524,0.07575098461208146,0.9908208037112853,3.0036185125541612,0.009179196288714664,0.0012061708513870784,0.02856941625233724,0.028600276842434325,0.9348257767973711,2.947562999995115,1.0468158306251996,3.0596740251132073,0.04547452588741777,0.030849972994571605
