T,N,sim,beta_interactive.1,beta_interactive.2,beta_within.1,beta_within.2,sde_interactive.1,sde_interactive.2,sde_within.1,sde_within.2
10,100,0,0.8923622166288112,2.96676257697084,0.9479788713538314,3.002009024962114,,,0.06289694623411263,0.06557732227548482
10,100,1,1.023132077893468,2.9773671063855325,1.055357159122604,3.0590852926645153,,,0.069434241326108,0.06657114468125834
10,100,2,0.9352120113539257,3.0234038264569314,0.977431893737708,3.0237977866316497,,,0.06559414229876502,0.0650581391615008
10,100,3,1.04256094020527,3.1181508175756036,0.9684580798230817,3.085764310212914,,,0.06617854165023945,0.06951537243354619
10,100,4,0.983820843332488,2.8980578454736836,1.045776481698601,2.925810116456385,,,0.06861569826366491,0.06644522447398753
10,100,5,1.121574951904222,3.04473916930689,0.9916652710304981,2.9670792367584493,,,0.06950110300140383,0.06531737485539506
10,100,6,0.9723053416294967,2.8929760116113528,1.0001359548903468,2.929579807269533,,,0.06528621963966724,0.06588691123252992
10,100,7,1.07550426992632,3.091187401552645,1.0045644818211472,3.036625675111159,,,0.06732431990025087,0.06615853363630556
10,100,8,0.8897549716232085,2.88137884605451,0.9225006325442,2.9644360860369083,,,0.06903575374191324,0.0663543920732559
10,100,9,1.0176503209438756,2.9896782205369092,0.9407259795887248,2.9771036882984934,,,0.066672183266782,0.06509494793390012
20,100,0,1.065629779967196,3.0338864579247584,0.993888362041033,2.9775005411641597,,,0.04546210319156406,0.045088219137175915
20,100,1,0.9595568007165163,3.0326368571785807,0.9378198597325791,3.0013534040189995,,,0.04540935081426028,0.044377929077285896
20,100,2,1.0561439641173251,2.991171753967258,1.0835523731675862,3.0059969722225093,,,0.04807954529255718,0.04611499194403752
20,100,3,1.0170439992087843,3.041603915493532,0.9450106952045897,2.979649678273124,,,0.04589254500455507,0.04583858096286036
20,100,4,0.8882069057087172,2.993019014469162,0.9204359032445587,3.0305017352952395,,,0.04571559359621257,0.046168236537979995
20,100,5,0.9754342594656755,3.07982639221947,0.9665282058353621,3.047361570000002,,,0.04463992868235168,0.045385645848825665
20,100,6,1.136184251238923,3.07529195560916,1.0214777898871161,3.005346003347679,,,0.04634079412821143,0.04485344193542833
20,100,7,1.0807690728101775,2.9957216683814387,1.0866787489514016,3.0448978154149313,,,0.044618708016080734,0.045443121852757014
20,100,8,0.9961389276959167,3.006738667085571,0.9889567907262258,2.9930209792409146,,,0.047429224094326435,0.04770831467390225
20,100,9,0.9830486380272774,2.9159250484926744,0.9854277692171575,2.927129682938122,,,0.044666594014709494,0.04649738552498582
50,100,0,0.990392341820538,2.9717476769372695,1.0206555304060878,2.996498429967733,,,0.028600601033844257,0.02872676590860486
50,100,1,1.0489777289573432,3.0325879170507086,1.0148658492222973,3.0116733463921195,,,0.028571261797007346,0.02864316564988315
50,100,2,0.9642117919285731,2.96798427948492,0.9600002039376371,2.9633716549123457,,,0.0276656347832432,0.028201375419365227
50,100,3,0.9859666779179257,2.972417102094216,0.966019570805883,2.9665618039302477,,,0.028576987429953446,0.028318391785884106
50,100,4,1.0338028000488215,2.968770649364213,1.0139805198469818,2.962670268849919,,,0.028286027730012493,0.028572624775358265
50,100,5,1.007784747392634,2.9530223854972455,0.9972441656663275,2.9692574675687773,,,0.028068990682873454,0.02875664332893102
50,100,6,0.9561582357262637,2.9594902092118502,0.9643981386845683,2.9774792918644013,,,0.029341199342330464,0.0288647689660697
50,100,7,1.028088621996055,3.052021785924822,1.023241206832179,3.033558855562614,,,0.028832920586876105,0.02855522574478894
50,100,8,0.960710754535949,3.064204929058249,0.9633299795096614,3.045689964161661,,,0.02808011149532831,0.028643537531654807
50,100,9,1.0222339111012957,3.0224735100568942,1.0021270858250495,2.9992890759195836,,,0.028220580000569147,0.02856597815441103
100,100,0,1.0181953183941026,3.0357484421674954,0.9990734607749153,3.013302472170805,,,0.01983694563451637,0.02013419412720074
100,100,1,1.0443106154582722,2.9541408358131207,1.0385687556363428,2.9625478704339447,,,0.02018141485340916,0.02046304021425019
100,100,2,0.968669889021001,3.046707104416587,0.9482244818176238,3.0279283231981577,,,0.02015278513965559,0.020169584054825676
100,100,3,0.9987313191279981,2.9739478706310685,1.0078163243722251,2.984362949461202,,,0.02002047375055806,0.019850648994621793
100,100,4,1.0135819672909818,3.0095155819864203,1.0160019460370917,3.010124504954823,,,0.019900238585784994,0.019735110495305564
100,100,5,0.9873432880199218,2.974857453632403,0.9814353122574943,2.97573116082131,,,0.020110666974361827,0.0198207580207516
100,100,6,1.0339473687948448,3.0270169269088747,1.01980381096424,3.0160769082435324,,,0.019814558893382232,0.0196640964542216
