T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,100,1.1692561875916117,3.171052630369579,0.16925618759161165,0.0570175434565264,,,,,,,0.17297327477721397,0.18315724797442198,1.0158788120645892,2.9953075442449313,0.015878812064589187,0.001564151918356238,0.06693895724294505,0.06718472110175946,0.8846808667057503,2.8636279105741145,1.1470767574234282,3.126987177915748,0.0768015703634132,0.04853547681447447
20,100,1.1679676981794604,3.1587744829304083,0.16796769817946045,0.05292482764346943,,,,,,,0.175055147445929,0.16663697735855307,0.9966915728369108,3.005981024321964,0.0033084271630892115,0.00199367477398793,0.04595819401402669,0.04605739023460239,0.9066151677749141,2.9157101982402365,1.0867679778989074,3.096251850403691,0.053399681946721116,0.045644589226031894
50,100,1.1462302046420234,3.1402071158724576,0.1462302046420234,0.0467357052908192,,,,,,,0.1548911724226934,0.14982441579814001,1.0019646538702651,2.997798283016966,0.0019646538702651206,0.0007339056610113914,0.0287389811690552,0.02870762547076567,0.945637285826542,2.9415323710126002,1.0582920219139882,3.0540641950213314,0.019699642635784234,0.018515990911656535
100,100,1.119640833281803,3.1085515171584257,0.11964083328180308,0.036183839052808565,,,,,,,0.13870255500307463,0.1331447422307568,1.0048484129981714,2.9909577107903678,0.004848412998171403,0.0030140964032107456,0.02023322345593257,0.02020800545168854,0.9651920237333925,2.951350747905669,1.0445048022629504,3.0305646736750664,0.018678564290479694,0.01932466860281919
100,10,1.1409638581142514,3.1793023688179285,0.14096385811425138,0.05976745627264283,,,,,,,0.1548049142705725,0.18909771776756196,0.9994322384327825,3.041597079160084,0.0005677615672174952,0.013865693053361383,0.06786853452973471,0.06811688085595166,0.8664123550709895,2.908090445943213,1.1324521217945756,3.175103712376955,0.08730879126376799,0.06290023316060596
100,20,1.113713541500464,3.1463478677464876,0.11371354150046398,0.04878262258216252,,,,,,,0.1287280629091274,0.1603740322280189,0.9799243663400468,2.9997447892602294,0.02007563365995324,8.507024659021312e-05,0.046697312675983024,0.04716652361123718,0.8883993153203142,2.9073001017062463,1.0714494173597793,3.0921894768142124,0.048092751527740674,0.04483745297553524
100,50,1.1663785646066258,3.151000464997877,0.1663785646066258,0.05033348833262563,,,,,,,0.16719349495939165,0.1520745848681826,1.0177126410974253,2.996259096639384,0.01771264109742532,0.0012469677868720552,0.028842698864536997,0.02878337479834438,0.9611819901059985,2.939844718681111,1.074243292088852,3.0526734745976567,0.02174094242644909,0.01540201206285324
