T,N,mean_interactive.1,mean_interactive.2,bias_interactive.1,bias_interactive.2,sde_interactive.1,sde_interactive.2,ci_l_interactive.1,ci_l_interactive.2,ci_u_interactive.1,ci_u_interactive.2,rmse_interactive.1,rmse_interactive.2,mean_within.1,mean_within.2,bias_within.1,bias_within.2,sde_within.1,sde_within.2,ci_l_within.1,ci_l_within.2,ci_u_within.1,ci_u_within.2,rmse_within.1,rmse_within.2
10,10,0.8524873300017966,3.272586404253655,0.14751266999820345,0.09086213475121833,,,,,,,0.14751266999820345,0.272586404253655,0.8972809973185073,2.628330802542914,0.1027190026814927,0.12388973248569535,0.2641357449273331,0.2733834853972065,0.3795844502312762,2.0925090171963574,1.4149775444057384,3.1641525878894705,0.1027190026814927,0.37166919745708604
20,10,0.9219975193120504,2.8620250923347257,0.07800248068794957,0.045991635888424774,,,,,,,0.07800248068794957,0.13797490766527432,0.8853283288015146,3.00961659664863,0.11467167119848543,0.0032055322162099684,0.1521426791088595,0.1471491731028747,0.5871341572367155,2.7212095170121455,1.1835225003663137,3.2980236762851143,0.11467167119848543,0.009616596648629905
30,10,1.2938714473832746,3.0181988542358766,0.29387144738327464,0.006066284745292212,,,,,,,0.29387144738327464,0.018198854235876638,1.002656347158238,2.8584640239586347,0.002656347158237926,0.047178658680455086,0.1170993922620461,0.1194296661608843,0.7731457557130993,2.6243861795976593,1.2321669386033767,3.09254186831961,0.002656347158237926,0.14153597604136525
40,10,1.1027109713769718,2.8563241664099337,0.10271097137697183,0.0478919445300221,,,,,,,0.10271097137697183,0.1436758335900663,1.0570522371236697,2.9902390863381485,0.05705223712366969,0.0032536378872838334,0.1086555278955911,0.1091127602890489,0.8440913157271239,2.7763820059178603,1.2700131585202155,3.2040961667584367,0.05705223712366969,0.0097609136618515
50,10,1.181734319319503,3.1365719222598365,0.1817343193195029,0.045523974086612164,,,,,,,0.1817343193195029,0.1365719222598365,1.0916081667355997,3.0468751302537727,0.09160816673559968,0.015625043417924218,0.1054301014280617,0.1017568312133935,0.8849689650501938,2.8474354058946,1.2982473684210056,3.2463148546129452,0.09160816673559968,0.04687513025377266
60,10,1.1900220512356938,3.219354893712961,0.19002205123569382,0.07311829790432034,,,,,,,0.19002205123569382,0.21935489371296102,1.0644858495755214,3.031104540912676,0.06448584957552139,0.010368180304225335,0.0821873118983814,0.085552420423357,0.9034016782685336,2.863424878092667,1.225570020882509,3.198784203732685,0.06448584957552139,0.031104540912676004
70,10,1.0769052511164858,3.3391702117599777,0.07690525111648583,0.11305673725332592,,,,,,,0.07690525111648583,0.33917021175997775,0.8749215514935856,3.104255045290924,0.12507844850641436,0.03475168176364137,0.074240417900978,0.0781879969613837,0.729413006210466,2.951009387223285,1.0204300967767053,3.2575007033585632,0.12507844850641436,0.10425504529092411
80,10,1.2921609929077036,3.021505600879756,0.2921609929077036,0.007168533626585353,,,,,,,0.2921609929077036,0.02150560087975606,1.0958350415700304,2.9290960283752465,0.09583504157003042,0.02363465720825116,0.0775678100320152,0.0760917538032703,0.9438049275476359,2.779958931400348,1.247865155592425,3.078233125350145,0.09583504157003042,0.07090397162475348
90,10,1.054471997281361,3.1890766211282937,0.054471997281360984,0.06302554037609791,,,,,,,0.054471997281360984,0.1890766211282937,0.9221193349444852,3.0906610323102304,0.07788066505551483,0.030220344103410124,0.0750407299295137,0.0706477837050637,0.7750422069090415,2.9521939206607297,1.0691964629799289,3.229128143959731,0.07788066505551483,0.09066103231023037
100,10,1.2261995236140422,3.075298913810933,0.22619952361404216,0.025099637936977597,,,,,,,0.22619952361404216,0.07529891381093279,1.0637676729873475,2.9466363030665303,0.06376767298734753,0.017787898977823218,0.0659347635219433,0.0675312642469683,0.9345379111551734,2.814277457312015,1.1929974348195218,3.0789951488210456,0.06376767298734753,0.05336369693346965
10,20,1.16967102321302,3.043527650820032,0.16967102321302008,0.014509216940010727,,,,,,,0.16967102321302008,0.04352765082003218,1.078609197451471,2.939964105382246,0.0786091974514711,0.02001196487258472,0.1589523911270981,0.1447394422074239,0.7670682355858347,2.6562800115132785,1.3901501593171075,3.223648199251213,0.0786091974514711,0.06003589461775416
20,20,1.1018346301174375,3.223086904133972,0.10183463011743754,0.07436230137799067,,,,,,,0.10183463011743754,0.22308690413397203,0.9486974433643252,3.140224476265856,0.051302556635674845,0.046741492088618664,0.1020363525154025,0.1094255406447357,0.7487098673203033,2.92575435761335,1.1486850194083469,3.354694594918362,0.051302556635674845,0.140224476265856
30,20,1.1352360801579202,3.0903331295225627,0.1352360801579202,0.030111043174187557,,,,,,,0.1352360801579202,0.09033312952256267,0.9618602957581286,2.963345363051707,0.03813970424187141,0.012218212316097729,0.085799890196635,0.0863122231938722,0.7936956010952327,2.7941765141661348,1.1300249904210244,3.132514211937279,0.03813970424187141,0.036654636948293184
