T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_within.1,beta_within.2,beta_within.3,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_within.1,sde_within.2,sde_within.3
10,10,0,1.1236757362859202,2.9051759506196446,4.540868556044016,1.509393119560275,3.1786579445518113,4.065638275276674,,,,0.19385739268223945,0.1649741798858358,0.25258319239946797
20,10,0,1.176007408670385,3.0039498425788542,4.74759550930765,1.4407601143511273,3.3297619086672157,4.016591254784802,,,,0.11828490616749832,0.12692725114511336,0.17351486774754735
30,10,0,0.9253937228462521,3.2595078054906845,4.5784443527361045,1.2757111592338608,3.5377881380963894,3.922300197005044,,,,0.10972555374117579,0.12091917785867984,0.1633728176605104
40,10,0,0.9787044965608093,2.8950511624682043,5.2065806781018225,1.3008220219052593,3.3860986519170098,4.212213035162282,,,,0.08847519695705695,0.09115283006805831,0.1442638975613125
50,10,0,1.107156778163338,3.349025331218451,4.192138159230851,1.2933347191368818,3.5432903970669836,4.036503142812426,,,,0.07455810787362238,0.07286647702750801,0.11374821372581165
60,10,0,1.2574405450170139,3.356533289767056,2.1564348410022633,1.3524984109028273,3.431972678893989,4.4450241660070695,,,,0.06854973532337832,0.0689683023557442,0.089608721472734
70,10,0,1.11669514886133,3.1078947714123664,4.649859393409438,1.2693613359118883,3.2954329168158063,4.946686885222384,,,,0.06905130800994669,0.06872958567908052,0.08165663462667366
80,10,0,1.00010818899344,3.028220724745656,5.043373919504484,1.4491738778151162,3.4470659392202476,4.150055203474184,,,,0.06363035485035648,0.062380063555849054,0.09290294256327811
90,10,0,1.0358070419530496,2.991705082833045,4.962267188177119,1.3622804607998436,3.311923059923486,3.873608607455991,,,,0.06321248735015994,0.0603628746654982,0.13918558322586355
100,10,0,1.2451964605975658,3.20082152470854,3.71898905637062,1.4050093808772772,3.3538502001563204,4.289192169675545,,,,0.05367744832468389,0.054661653113990266,0.07586861532602669
10,20,0,1.4467053903937108,3.2985802142037057,0.13724465916951445,1.519462301062781,3.289305259925425,3.7885885667430736,,,,0.10886858366703772,0.11850051842061875,0.1749985548438713
20,20,0,1.1665168815221874,2.9322562922900612,4.671650150213965,1.472748820159393,3.3418691600190646,3.9491710011298293,,,,0.08428384380439767,0.08547158055572432,0.12642420139157545
30,20,0,0.9583522335826484,3.1854457879670326,4.840637217718793,1.2891275654368615,3.4780828678883102,4.041607107021111,,,,0.06245954370378248,0.06302244675934855,0.10134779638927752
40,20,0,1.2849614292213425,3.2189942514426306,3.577887411051301,1.4337970447933173,3.370831714604379,4.280069514207522,,,,0.0619412834669626,0.06128526853936911,0.09545742722954355
50,20,0,1.0375718710883755,3.1020380225744084,4.779540847026185,1.290913597130906,3.3257873276659025,4.336448897591429,,,,0.05516577656199579,0.054705301193413505,0.0843089400178206
60,20,0,1.2249829092336697,3.2476121527447934,3.4859761563156635,1.3816185498114277,3.4234582934061786,3.763782001300444,,,,0.04710452414257369,0.04786456790240202,0.07670873391990866
70,20,0,0.9454007253290648,2.9496434546421435,5.0308882752717174,1.4041455314265932,3.4380268237919083,4.112694910062059,,,,0.04373687376338973,0.04473679762287214,0.06554969369616268
80,20,0,1.066703762730411,3.1281654757575805,4.64025730785125,1.4003784634063206,3.488342353377366,3.6594201686578653,,,,0.039857593366519006,0.04014592143010495,0.06881541672649476
90,20,0,1.098907795121233,2.9833591648538844,4.8609118310440085,1.4817670556914475,3.4131728587483083,4.086046695118757,,,,0.037777044235531895,0.03842318787160143,0.05550539211908875
100,20,0,1.0242674474776896,3.0323724929219615,4.995854179669907,1.440259871737528,3.401301630126345,4.9450780883099155,,,,0.037857352097967,0.03874934046118109,0.04750524911080148
10,30,0,1.3000642000810008,3.1909964053857522,3.386071807137605,1.3568114835924607,3.2928549800767204,4.111562685915761,,,,0.10349818174837953,0.10100319790999308,0.1552626541026978
20,30,0,1.3136362129984533,3.300540729139389,2.3737665435892357,1.4186546057052638,3.3757418021776298,4.039555396806643,,,,0.06665593891958516,0.065407460886486,0.10383121989903901
30,30,0,1.0911800665909352,3.065422046594922,4.844081189723414,1.4667953862320722,3.3237293464139874,4.260860430585953,,,,0.0563067415524356,0.05174667200916365,0.08035152665608133
40,30,0,1.0738796449617778,2.829160440240519,5.032473207553915,1.5300697775315029,3.3392818469254566,3.5934583479293187,,,,0.04949838172129726,0.051212350081599495,0.09470581333299935
50,30,0,0.938009478860787,3.034309410742967,5.057841466021421,1.3583037591172646,3.4105113228329262,4.3530299169979045,,,,0.04576864463013216,0.04567128745339639,0.06479160923804576
60,30,0,1.0470001547156134,3.039468631114113,4.896822216558503,1.4411516162299762,3.4095102920475835,4.2750092592732365,,,,0.039209657115359974,0.0400442193092693,0.05695559667171362
70,30,0,0.9994054051711978,2.963531133558735,5.025720972269681,1.416021896463911,3.423217298307927,4.4560888086531945,,,,0.03611449185969034,0.037609231663988406,0.05033934786368964
80,30,0,0.9924242036610865,3.0101739994866645,5.025501896808024,1.3953143521589966,3.4010428749694617,4.350208559745511,,,,0.03473256999817677,0.03444839672513436,0.049080443942908274
90,30,0,0.9877511237031016,2.9623183208248873,5.0013893142494315,1.340237313022467,3.3583857298284006,4.188162700190478,,,,0.03332078935600524,0.03359949987665874,0.05429732101651688
100,30,0,0.9906546150131756,3.0429101590961993,4.995648191156681,1.3187249819069267,3.4153820415837695,4.1949010309448695,,,,0.031438313888928655,0.03140008493599579,0.05115778816021781
10,40,0,0.837194908295581,2.9498908129185546,5.270576428273213,1.4085313442714544,3.499418420709816,4.4261021604095045,,,,0.08917558408719381,0.08366738416977097,0.12174248766433127
20,40,0,0.9781240667236386,3.0097408719064886,5.025139465644974,1.3987927763445613,3.4260056237518333,4.447554595564156,,,,0.05490963658453567,0.05581442247634102,0.07975101067835902
30,40,0,1.0907877803671147,3.045341907847004,4.7675060362609525,1.474924483113383,3.404788620603246,3.8085898157968847,,,,0.047816245660870046,0.04877065606983154,0.07627605264302124
40,40,0,0.9310508935393031,2.9997124569634614,5.046610715651465,1.3103156906592368,3.467994828071138,4.207425679294367,,,,0.040994529217317235,0.0409066816823771,0.06107746774369171
50,40,0,0.8872378223521924,3.0118968677669544,5.060108705110695,1.3321609827404235,3.4638470327386885,4.387316667875304,,,,0.036382388609509826,0.03662743091886116,0.052018516201421054
60,40,0,0.9836057198426548,3.0821670939096686,4.925607324581747,1.3757827516674954,3.490071099638887,4.088988462875398,,,,0.03282100352976548,0.03326236512982168,0.04954337056521222
70,40,0,1.0285899987682023,3.093378295781134,4.845904035156405,1.3697541934100534,3.431483580435607,3.904519618398621,,,,0.03168472966324039,0.030995116986217805,0.054164386997539685
80,40,0,1.0489482063678068,2.9705812126047744,4.949586611788019,1.4257295443036437,3.397207324174647,3.873838937317839,,,,0.028789726123300576,0.029055573158628733,0.04869132015771039
90,40,0,1.0149901743941228,3.040273750205797,4.945682627500364,1.3922084835431552,3.3985350839269532,4.309466688587854,,,,0.027411855599631423,0.027314941300997705,0.039842394595464854
100,40,0,1.0058460279251258,3.0081203474721283,4.974852846559576,1.4201150895032264,3.404102593413981,4.922661623028413,,,,0.02601865086175023,0.026318419388471313,0.03336899240773618
10,50,0,1.1534691794734924,3.1640991470017705,4.461557243517222,1.423771285588593,3.2786762882370404,4.262290880806644,,,,0.07915112313475749,0.07822317644880994,0.12455568730371974
20,50,0,0.9159058580809262,2.857879364640087,5.113739061938481,1.3846208333142063,3.3472808768288456,4.619322512852541,,,,0.054969893312139875,0.05242069801236377,0.07083261845591952
30,50,0,1.0645767961407526,2.9590364205934585,4.9529463027225065,1.4094953579933742,3.301646547893461,4.129346961447017,,,,0.04421291287213974,0.043427808621445955,0.0720100904601189
40,50,0,1.1142724742489034,3.062332421953381,4.7541445804851215,1.419543003431729,3.336672638085968,4.3242082526982735,,,,0.0368226024520747,0.037356037930965036,0.054833954048534535
50,50,0,0.9857504713275929,3.052841504399101,4.9259536016452685,1.389901720158273,3.4033415363151676,4.194501837304322,,,,0.0338508020175779,0.03371621909095142,0.04941661978018654
60,50,0,1.0505937468546747,3.0077715754826078,4.998654695287043,1.3941774121466106,3.3385969141204352,4.3476155361848035,,,,0.030723462960885187,0.03010358768036615,0.04684838708461026
70,50,0,0.9985800130714942,3.0614679063729007,5.003741189208039,1.4119769498165493,3.440361597582358,4.049903056244004,,,,0.027432731864672634,0.026663107027672387,0.042238579361878956
80,50,0,1.0072455809221745,2.995247468065745,5.034098908139162,1.4015132273107846,3.4022713577405943,4.021692134932297,,,,0.025448961563882374,0.025205522473252914,0.041968720328643044
90,50,0,0.9937732889875994,2.8939043875832775,5.001722768013236,1.3946624027446513,3.331491307130012,4.1605069253586615,,,,0.024556314387860444,0.025013999421871096,0.038814198334123445
100,50,0,1.0767197961339439,3.027184088043623,4.879408415101196,1.425007960344889,3.403005724509444,3.92384800610043,,,,0.022448395225897824,0.022989347358933435,0.03690629828373663
10,60,0,1.2834195651709495,3.5548490026820376,-11.126003566722314,1.3247199470386195,3.507805984756943,4.500651034761164,,,,0.0731430690410929,0.07573785537187108,0.09531823710142634
20,60,0,1.0765661970517355,3.0159932314593645,4.811226432344356,1.3793843060461821,3.3703844274576324,4.446743811959919,,,,0.051969338777115875,0.05169758648174079,0.06915180872977364
30,60,0,0.9325969951707785,2.905468056103879,5.057466976633152,1.4434383668383117,3.409108368138165,3.817343066379432,,,,0.039364795425440836,0.04104973400040445,0.06362850410493236
40,60,0,0.9689261120936091,2.915189804972683,5.080657613988317,1.352377433593196,3.3620493412562107,4.1796242353147965,,,,0.036032547140175945,0.03531133966831073,0.05471043960460796
50,60,0,0.9992263643135368,3.0091558278682387,5.049716255664163,1.3721956246437619,3.3615361686957588,4.484595725764014,,,,0.03126840438388901,0.031130331570424243,0.043743320689525834
60,60,0,0.9832477217268114,3.0068024726609495,4.978876750539105,1.380402900265093,3.4032063790152502,4.1452968576399405,,,,0.027461093546133117,0.02733977928622225,0.04207557710819724
70,60,0,1.0338370163726185,3.032949457220274,4.948660673143671,1.3827154531075183,3.383495718409117,4.422379064493407,,,,0.024964927080529265,0.025702210352900247,0.03506941217307831
80,60,0,0.9746056922775884,2.956395693575632,4.998226499366147,1.3828507081784682,3.379315698444369,4.113177021927163,,,,0.024491153695015998,0.024459257479110482,0.03759729203569438
90,60,0,1.0013792541296287,2.996275670846356,4.957726128137582,1.3963132221934071,3.371926812538759,4.123728296920671,,,,0.022618857349959137,0.022349133411579382,0.03527207180968288
100,60,0,0.9667065598917721,2.9867874789955833,5.052782301493297,1.3890323778737772,3.4056028178322144,4.642139530373129,,,,0.021417556761994215,0.021197936504188834,0.02851263621283968
10,70,0,0.9330459147549194,3.0747153077041487,5.054301574335563,1.372841007564763,3.4522289991643005,4.136950125385855,,,,0.06958758008300009,0.07156306381402391,0.10167357834242491
20,70,0,0.9074015446229788,3.023600382619605,4.974160908144836,1.346618818117542,3.393214210135012,4.122493122537393,,,,0.046954093658085665,0.04608172764735117,0.07070505181976827
30,70,0,1.0446981979729415,2.9699496922632833,5.032174539070313,1.4704708710130572,3.3661000660394276,4.374888005237472,,,,0.03664757468330905,0.03643655104699123,0.0514819607886862
40,70,0,0.938669923430701,2.990048001610635,5.060284595062168,1.3640960568971578,3.423412363116694,4.421866592581647,,,,0.032196355468773266,0.031944266585619205,0.04456488822094479
50,70,0,0.9500708296531252,2.945720775445654,5.1001910679938565,1.4123983989571203,3.399656396875553,4.216648102543538,,,,0.0274728093673054,0.02698008312807753,0.04089770788823025
60,70,0,1.0099696083889298,3.0011505332718538,4.985209281644792,1.4065437253107032,3.423931932218421,3.8476504712867916,,,,0.025386338675121977,0.024919217906495473,0.041871489382890904
70,70,0,1.0411750921852636,3.049883847329493,4.891602302256887,1.3854508110919295,3.426042799450931,3.9173454714456284,,,,0.022729043216628497,0.023016415742519784,0.03853867337597051
80,70,0,0.9875108814795737,3.0372327461046567,4.963130592501127,1.373879975524885,3.4339712925281844,3.876003929216145,,,,0.02174550760062203,0.02175815224897642,0.036999774364591495
90,70,0,1.0250102775139718,2.9837227910569477,4.978352280035937,1.4066820847730022,3.3667276752658264,4.149538209226659,,,,0.020846241088844288,0.02066438426228732,0.03190823177772037
100,70,0,1.0028974082464153,2.9589341106844005,5.000131110431775,1.406006449462723,3.369680356597896,3.9877756064773635,,,,0.019319658231115828,0.019176603064430014,0.03243639365790726
10,80,0,0.9795722100400843,3.0274560326406466,4.853092096171981,1.423310538886625,3.3709019430331777,3.962311409639724,,,,0.06343860587764957,0.06126310624469208,0.10372260815557044
20,80,0,1.205831883735474,3.1119754026404727,4.2403907146879956,1.4595741405191245,3.3857789737740385,4.2018333326582535,,,,0.0399776346945051,0.03979568813873727,0.05956399571144995
30,80,0,1.0874903253793966,3.0543822005505694,4.8857463183674295,1.3873581092102698,3.377079441027675,4.37574692079084,,,,0.03511983243824601,0.03568633496316988,0.05149859837491732
40,80,0,1.0969261054092343,3.046743662474196,4.781934068097625,1.4563968430700247,3.3648504446392726,4.5276001455396555,,,,0.029013548680670388,0.028552645820108826,0.0392785495958408
50,80,0,0.9763549394147488,3.0443225445232547,4.988040492306727,1.3519900846084316,3.441729548989101,4.20810052183726,,,,0.026337900880401444,0.026322954239173788,0.039054414091864394
60,80,0,0.9541584079953344,3.001249864844553,5.070614597816563,1.3794597100999009,3.4107305777952943,4.053036510364829,,,,0.02391709106874024,0.024118891793055323,0.03922572408522625
70,80,0,0.9611329496031242,3.0373480917452156,4.999266685139593,1.3688254876091892,3.4817290566091135,4.279980608558003,,,,0.022259678741557414,0.02243612492851443,0.03192463491567968
80,80,0,0.9638018123774207,2.985014852731311,5.052621739963772,1.3854058315963778,3.3900695791491255,4.16636458825173,,,,0.02101708267485535,0.021016764096753335,0.03307516023164276
