T,N,PC1,PC2,PC3,IC1,IC2,IC3
40.0,100.0,3.0,3.0,3.7,3.0,3.0,3.0
60.0,100.0,3.0,3.0,3.7,3.0,3.0,3.0
60.0,200.0,3.0,3.0,3.0,3.0,3.0,3.0
60.0,500.0,3.0,3.0,3.0,3.0,3.0,3.0
60.0,1000.0,3.0,3.0,3.0,3.0,3.0,3.0
